Mass (kg),Waves,Wavelength (m),Frequency (Hz),Amplitude (m),
0.05,0.5,2.36,22,0.048,51.92
,1,1.18,43,0.0280,50.74
,1.5,0.7866666667,65,0.014,51.13333333
,2,0.59,85,0.009,50.15
,2.5,0.472,108,0.008,50.976
,3,0.3933333333,130,0.007,51.13333333
