Time (s),Position (m),
0.05,0.729904,
0.1,0.7393365,
0.15,0.755286,
0.2,0.7729505,
0.25,0.793359,
0.3,0.8093085,
0.35,0.8232,
0.4,0.837263,
0.45,0.842065,
0.5,0.846867,
0.55,0.8477245,
0.6,0.8446375,
0.65,0.838635,
0.7,0.829031,
0.75,0.8171975,
0.8,0.8027915,
0.85,0.787528,
0.9,0.771064,
0.95,0.7551145,
1,0.740194,
1.05,0.7269885,
1.1,0.715841,
1.15,0.7077805,
1.2,0.7029785,
1.25,0.7012635,
1.3,0.704179,
1.35,0.709324,
1.4,0.7180705,
1.45,0.728875,
1.5,0.741909,
1.55,0.7561435,
1.6,0.771064,
1.65,0.786499,
1.7,0.800562,
1.75,0.8134245,
1.8,0.823886,
1.85,0.8319465,
1.9,0.836234,
1.95,0.838292,
2,0.8367485,
2.05,0.8319465,
2.1,0.8244005,
2.15,0.814625,
2.2,0.8024485,
2.25,0.7894145,
2.3,0.7756945,
2.35,0.76146,
2.4,0.748083,
2.45,0.7359065,
2.5,0.725445,
2.55,0.717899,
2.6,0.7129255,
2.65,0.7112105,
2.7,0.712068,
2.75,0.7160125,
2.8,0.722358,
2.85,0.7317905,
2.9,0.7424235,
2.95,0.7547715,
3,0.767634,
3.05,0.780668,
3.1,0.793016,
3.15,0.8041635,
3.2,0.813596,
3.25,0.8209705,
3.3,0.826287,
3.35,0.8281735,
3.4,0.8278305,
3.45,0.824229,
3.5,0.818055,
3.55,0.810166,
3.6,0.8007335,
3.65,0.7897575,
3.7,0.777924,
3.75,0.765919,
3.8,0.754257,
3.85,0.743624,
3.9,0.7348775,
3.95,0.728189,
4,0.7228725,
4.05,0.720986,
4.1,0.7211575,
4.15,0.72373,
4.2,0.728532,
4.25,0.736078,
4.3,0.7448245,
4.35,0.7546,
4.4,0.7654045,
4.45,0.7763805,
4.5,0.7870135,
4.55,0.796446,
4.6,0.805364,
4.65,0.8117095,
4.7,0.816683,
4.75,0.818398,
4.8,0.818398,
4.85,0.81634,
4.9,0.8120525,
4.95,0.80605,
5,0.798161,
4.04,,0.8319465
4.08,,0.834519
4.12,,0.835548
4.16,,0.834862
4.2,,0.8322895
4.24,,0.8285165
4.28,,0.8233715
4.32,,0.817369
4.36,,0.8103375
4.4,,0.8024485
4.44,,0.7945595
4.48,,0.786842
4.52,,0.7794675
4.56,,0.772779
4.6,,0.766948
4.64,,0.7619745
4.68,,0.7585445
4.72,,0.7568295
4.76,,0.756658
4.8,,0.757687
4.84,,0.760088
4.88,,0.763518
4.92,,0.76832
4.96,,0.7739795
5,,0.780325
5.04,,0.7870135
5.08,,0.7938735
5.12,,0.800219
5.16,,0.806736
5.2,,0.8123955
5.24,,0.8171975
5.28,,0.8209705
5.32,,0.8232
5.36,,0.824572
5.4,,0.8244005
5.44,,0.8232
5.48,,0.820799
5.52,,0.817369
5.56,,0.8127385
5.6,,0.8079365
5.64,,0.8024485
5.68,,0.796789
5.72,,0.7911295
5.76,,0.78547
5.8,,0.7801535
5.84,,0.775523
5.88,,0.7719215
5.92,,0.7691775
5.96,,0.7674625
6,,0.7664335
6.04,,0.766948
6.08,,0.7684915
6.12,,0.7708925
6.16,,0.774151
6.2,,0.777924
6.24,,0.781697
6.28,,0.786499
6.32,,0.7914725
6.36,,0.7962745
6.4,,0.800905
6.44,,0.8051925
6.48,,0.808451
6.52,,0.8113665
6.56,,0.8134245
6.6,,0.814625
6.64,,0.8147965
6.68,,0.814282
6.72,,0.8123955
6.76,,0.810509
6.8,,0.8079365
6.84,,0.8048495
6.88,,0.801591
6.92,,0.797475
6.96,,0.793702
7,,0.789929
7.04,,0.786499
7.08,,0.7835835
7.12,,0.781011
7.16,,0.77861
7.2,,0.7774095
7.24,,0.776895
7.28,,0.7770665
7.32,,0.7777525
7.36,,0.778953
7.4,,0.780325
7.44,,0.7825545
7.48,,0.785127
7.52,,0.787871
7.56,,0.7907865
7.6,,0.7935305
7.64,,0.7959315
7.68,,0.798504
7.72,,0.8007335
7.76,,0.8027915
7.8,,0.8041635
7.84,,0.804678
7.88,,0.805021
7.92,,0.8048495
7.96,,0.8045065
8,,0.803649
8.04,,0.8024485
8.08,,0.8007335
8.12,,0.7990185
8.16,,0.7973035
8.2,,0.795417
8.24,,0.793702
8.28,,0.791987
8.32,,0.789929
8.36,,0.7887285
8.4,,0.7876995
8.44,,0.786842
8.48,,0.786499
8.52,,0.786499
8.56,,0.7863275
8.6,,0.786842
8.64,,0.7873565
8.68,,0.788214
8.72,,0.7890715
8.76,,0.789586
8.8,,0.790615
8.84,,0.791644
8.88,,0.7925015
8.92,,0.7935305
8.96,,0.794388
9,,0.7945595
9.04,,0.795074
9.08,,0.7955885
9.12,,0.79576
9.16,,0.79576
9.2,,0.79576
9.24,,0.795417
9.28,,0.795417
9.32,,0.7952455
9.36,,0.7952455
9.4,,0.795417
9.44,,0.795417
9.48,,0.795074
9.52,,0.795074
9.56,,0.7952455
9.6,,0.7952455
9.64,,0.795417
9.68,,0.795417
9.72,,0.795074
9.76,,0.795074
9.8,,0.7952455
9.84,,0.7952455
9.88,,0.795417
9.92,,0.795074
9.96,,0.795074
10,,0.7952455
