Time (s),Position (m),
0.04,0.594762,
0.08,0.61054,
0.12,0.6292335,
0.16,0.6517,
0.2,0.6748525,
0.24,0.6981765,
0.28,0.721672,
0.32,0.74431,
0.36,0.765919,
0.4,0.786499,
0.44,0.805707,
0.48,0.822514,
0.52,0.8374345,
0.56,0.849954,
0.6,0.8597295,
0.64,0.866761,
0.68,0.870877,
0.72,0.8720775,
0.76,0.870534,
0.8,0.866418,
0.84,0.8597295,
0.88,0.85064,
0.92,0.8394925,
0.96,0.8257725,
1,0.810509,
1.04,0.793702,
1.08,0.775523,
1.12,0.7564865,
1.16,0.7365925,
1.2,0.716527,
1.24,0.696633,
1.28,0.676739,
1.32,0.6580455,
1.36,0.640038,
1.4,0.6240885,
1.44,0.6117405,
1.48,0.5987065,
1.52,0.5887595,
1.56,0.580699,
1.6,0.5774405,
1.64,0.574182,
1.68,0.5726385,
1.72,0.574525,
1.76,0.577612,
1.8,0.583786,
1.84,0.5884165,
1.88,0.597849,
1.92,0.608825,
1.96,0.6192865,
2,0.6333495,
2.04,0.648613,
2.08,0.6645625,
2.12,0.6810265,
2.16,0.6978335,
2.2,0.7142975,
2.24,0.7300755,
2.28,0.746025,
2.32,0.760774,
2.36,0.7743225,
2.4,0.7863275,
2.44,0.7969605,
2.48,0.805707,
2.52,0.812567,
2.56,0.817369,
2.6,0.8199415,
2.64,0.820456,
2.68,0.819084,
2.72,0.8158255,
2.76,0.8110235,
2.8,0.8045065,
2.84,0.796103,
2.88,0.786842,
2.92,0.7763805,
2.96,0.7647185,
3,0.752542,
3.04,0.739508,
3.08,0.726131,
3.12,0.7125825,
3.16,0.699377,
3.2,0.6865145,
3.24,0.6738235,
3.28,0.662333,
3.32,0.6517,
3.36,0.642096,
3.4,0.6340355,
3.44,0.627347,
3.48,0.6213445,
3.52,0.6179145,
3.56,0.618772,
3.6,0.6186005,
3.64,0.6174,
3.68,0.622545,
3.72,0.62426,
3.76,0.629062,
3.8,0.635236,
3.84,0.6426105,
3.88,0.651014,
3.92,0.6597605,
3.96,0.6693645,
4,0.6793115,
4.04,0.68943,0.8319465
4.08,0.6995485,0.834519
4.12,0.7091525,0.835548
4.16,0.718928,0.834862
4.2,0.728875,0.8322895
4.24,0.7372785,0.8285165
4.28,0.7455105,0.8233715
4.32,0.7527135,0.817369
4.36,0.7588875,0.8103375
4.4,0.763861,0.8024485
4.44,0.767634,0.7945595
4.48,0.770378,0.786842
4.52,0.7715785,0.7794675
4.56,0.771407,0.772779
4.6,0.7705495,0.766948
4.64,0.7684915,0.7619745
4.68,0.7657475,0.7585445
4.72,0.7619745,0.7568295
4.76,0.757001,0.756658
4.8,0.751856,0.757687
4.84,0.7461965,0.760088
4.88,0.7396795,0.763518
4.92,0.732991,0.76832
4.96,0.7259595,0.7739795
5,0.7187565,0.780325
5.04,0.711725,0.7870135
5.08,0.704522,0.7938735
5.12,0.697662,0.800219
5.16,0.6909735,0.806736
5.2,0.684971,0.8123955
5.24,0.679483,0.8171975
5.28,0.6745095,0.8209705
5.32,0.6703935,0.8232
5.36,0.6666205,0.824572
5.4,0.6642195,0.8244005
5.44,0.662676,0.8232
5.48,0.6621615,0.820799
5.52,0.662333,0.817369
5.56,0.663019,0.8127385
5.6,0.6642195,0.8079365
5.64,0.666106,0.8024485
5.68,0.6683355,0.796789
5.72,0.6710795,0.7911295
5.76,0.6741665,0.78547
5.8,0.677768,0.7801535
5.84,0.681541,0.775523
5.88,0.6854855,0.7719215
5.92,0.6899445,0.7691775
5.96,0.6940605,0.7674625
6,0.697662,0.7664335
6.04,0.701778,0.766948
6.08,0.705894,0.7684915
6.12,0.71001,0.7708925
6.16,0.7136115,0.774151
6.2,0.71687,0.777924
6.24,0.719614,0.781697
6.28,0.7221865,0.786499
6.32,0.7242445,0.7914725
6.36,0.725788,0.7962745
6.4,0.726474,0.800905
6.44,0.7269885,0.8051925
6.48,0.7269885,0.808451
6.52,0.7266455,0.8113665
6.56,0.726131,0.8134245
6.6,0.7259595,0.814625
6.64,0.724759,0.8147965
6.68,0.7235585,0.814282
6.72,0.722358,0.8123955
6.76,0.721672,0.810509
6.8,0.719957,0.8079365
6.84,0.7187565,0.8048495
6.88,0.7173845,0.801591
6.92,0.7156695,0.797475
6.96,0.7146405,0.793702
7,0.7129255,0.789929
7.04,0.711725,0.786499
7.08,0.710353,0.7835835
7.12,0.708981,0.781011
7.16,0.7081235,0.77861
7.2,0.7070945,0.7774095
7.24,0.7060655,0.776895
7.28,0.7050365,0.7770665
7.32,0.704522,0.7777525
7.36,0.7043505,0.778953
7.4,0.704179,0.780325
7.44,0.704179,0.7825545
7.48,0.7043505,0.785127
7.52,0.7043505,0.787871
7.56,0.7043505,0.7907865
7.6,0.7043505,0.7935305
7.64,0.7043505,0.7959315
7.68,0.7043505,0.798504
7.72,0.7043505,0.8007335
7.76,0.704522,0.8027915
7.8,0.704522,0.8041635
7.84,0.704522,0.804678
7.88,0.704179,0.805021
7.92,0.704179,0.8048495
7.96,0.704179,0.8045065
8,0.704179,0.803649
8.04,0.704179,0.8024485
8.08,0.704179,0.8007335
8.12,0.704179,0.7990185
8.16,0.7043505,0.7973035
8.2,0.7043505,0.795417
8.24,0.7043505,0.793702
8.28,0.7043505,0.791987
8.32,0.7043505,0.789929
8.36,0.7043505,0.7887285
8.4,0.7043505,0.7876995
8.44,0.704522,0.786842
8.48,0.704522,0.786499
8.52,0.704179,0.786499
8.56,0.704179,0.7863275
8.6,0.704179,0.786842
8.64,0.704179,0.7873565
8.68,0.704179,0.788214
8.72,0.704179,0.7890715
8.76,0.704179,0.789586
8.8,0.704179,0.790615
8.84,0.7043505,0.791644
8.88,0.7043505,0.7925015
8.92,0.7043505,0.7935305
8.96,0.704522,0.794388
9,0.704522,0.7945595
9.04,0.704522,0.795074
9.08,0.704522,0.7955885
9.12,0.704522,0.79576
9.16,0.704179,0.79576
9.2,0.704179,0.79576
9.24,0.704179,0.795417
9.28,0.704179,0.795417
9.32,0.704179,0.7952455
9.36,0.7043505,0.7952455
9.4,0.7043505,0.795417
9.44,0.7043505,0.795417
9.48,0.7043505,0.795074
9.52,0.7043505,0.795074
9.56,0.7043505,0.7952455
9.6,0.7043505,0.7952455
9.64,0.704522,0.795417
9.68,0.704522,0.795417
9.72,0.704522,0.795074
9.76,0.704522,0.795074
9.8,0.7040075,0.7952455
9.84,0.704179,0.7952455
9.88,0.704179,0.795417
9.92,0.704179,0.795074
9.96,0.704179,0.795074
10,0.704179,0.7952455
