Time (s),Position (m),Velocity (m/s),Predicted Velocity (m/s)
0.05,1.3059725,0,
0.1,1.3059725,0,
0.15,1.3052865,-0.01372,
0.2,1.3046005,-0.01372,
0.25,1.3035715,-0.02058,
0.3,1.302371,-0.02401,
0.35,1.2984265,-0.07889,
0.4,1.288651,-0.19551,
0.45,1.270472,-0.36358,
0.5,1.250921,-0.39102,
0.55,1.223824,-0.54194,
0.6,1.193297,-0.61054,
0.65,1.1598545,-0.66885,
0.7,1.1217815,-0.76146,
0.75,1.0833655,-0.76832,
0.8,1.041691,-0.83349,
0.85,1.0000165,-0.83349,
0.9,0.9530255,-0.93982,
0.95,0.908607,-0.88837,
1,0.860587,-0.9604,
1.05,0.812224,-0.96726,
1.1,0.757344,-1.0976,
1.15,0.705208,-1.04272,
1.2,0.652043,-1.0633,
1.25,0.5956195,-1.12847,
1.3,0.540568,-1.10103,
1.35,0.4848305,-1.11475,
1.4,0.4292645,-1.11132,
1.45,0.3719835,-1.14562,
1.5,0.3116155,-1.20736,
1.55,0.2522765,-1.18678,
1.6,0.19208,-1.20393,
1.65,0.183848,-0.16464,
