Time (s),Position (m),Velocity (m/s),Predicted Velocity (m/s)
0.05,1.3985825,0,
0.1,1.4085295,0.19894,
0.15,1.398411,-0.20237,
0.2,1.3951525,-0.06517,
0.25,1.3913795,-0.07546,
0.3,1.381947,-0.18865,
0.35,1.3622245,-0.39445,
0.4,1.3419875,-0.40474,
0.45,1.31369,-0.56595,
0.5,1.2853925,-0.56595,
0.55,1.263955,-0.42875,
0.6,1.214906,-0.98098,
0.65,1.1759755,-0.77861,
0.7,1.1344725,-0.83006,
0.75,1.088682,-0.91581,
0.8,1.048894,-0.79576,
0.85,0.9959005,-1.05987,
0.9,0.944279,-1.03243,
0.95,0.897288,-0.93982,
1,0.842751,-1.09074,
1.05,0.7901005,-1.05301,
1.1,0.736421,-1.07359,
1.15,0.6827415,-1.07359,
1.2,0.628376,-1.08731,
1.25,0.5712665,-1.14219,
1.3,0.5145,-1.13533,
1.35,0.456876,-1.15248,
1.4,0.3990805,-1.15591,
1.45,0.3387125,-1.20736,
1.5,0.279888,-1.17649,
1.55,0.2193485,-1.21079,
1.6,0.184191,-0.70315,
