Time (s),Force (N),Position (m)
0.96,1.632613491,0.044689
1,1.812758542,0.036457
1.04,2.159791216,0.0218795
1.08,2.624581045,0.003186
1.12,3.077283219,-0.0155075
1.16,3.486313865,-0.033172
1.2,3.746783333,-0.042776
1.24,3.808781305,-0.0446625
1.28,3.659830202,-0.0381455
1.32,3.36855671,-0.02494
1.36,2.928332116,-0.0069325
1.4,2.451064708,0.014505
1.44,2.029556482,0.030969
1.48,1.732044201,0.056008
1.52,1.608048257,0.0476045
1.56,1.707089042,0.0465755
1.6,1.9737973,0.028568
1.64,2.401544315,0.0112465
1.68,2.866334144,-0.008133
1.72,3.331513897,-0.0275125
1.76,3.635264968,-0.0398605
1.8,3.777587356,-0.0450055
1.84,3.753022122,-0.0415755
1.88,3.517507813,-0.030771
1.92,3.126803611,-0.014307
1.96,2.680340227,0.006616
2,2.19683403,0.0246235
2.04,1.843562566,0.038172
2.08,1.65132986,0.045032
2.12,1.670046229,0.04366
2.16,1.856040145,0.0342275
2.2,2.221789188,0.018964
2.24,2.699056596,0.000099
2.28,3.15175877,-0.0182515
2.32,3.523356678,-0.0350585
2.36,3.765499702,-0.043462
2.4,3.796303725,-0.0439765
2.44,3.616548599,-0.036259
2.48,3.294081159,-0.021853
2.52,2.853856564,-0.001616
2.56,2.376589156,0.0177635
2.6,1.961319721,0.0362855
2.64,1.707089042,0.0455465
2.68,1.632613491,0.0500055
2.72,1.732044201,0.048462
2.76,2.042034062,0.0321695
2.8,2.482258656,0.0088455
2.84,2.928332116,-0.0103625
2.88,3.3747955,-0.029399
2.92,3.672307781,-0.0405465
2.96,3.790064936,-0.044491
3,3.715589384,-0.0398605
3.04,3.455509841,-0.02837
3.08,3.05856685,-0.0093335
3.12,2.612103466,0.0095315
3.16,2.153552427,0.0270245
3.2,1.831084987,0.039887
3.24,1.65756865,0.0452035
3.28,1.682523808,0.042631
3.32,1.918038117,0.032341
3.36,2.29626474,0.0163915
3.4,2.761054568,-0.002302
3.44,3.207517952,-0.020138
3.48,3.560789416,-0.036259
3.52,3.759260912,-0.043462
3.56,3.771348567,-0.0426045
3.6,3.59159344,-0.034201
3.64,3.244560766,-0.0192805
3.68,2.791858592,0.0012995
3.72,2.327068764,0.020336
3.76,1.918038117,0.0400585
3.8,1.688762598,0.0458895
3.84,1.638852281,0.049148
3.88,1.787803383,0.039887
3.92,2.104032034,0.02651
3.96,2.531779049,0.008331
4,2.996568878,-0.014993
4.04,3.418077103,-0.031114
4.08,3.68478536,-0.0412325
4.12,3.796303725,-0.0439765
4.16,3.69726294,-0.038317
4.2,3.405599524,-0.023911
4.24,2.996568878,-0.0065895
4.28,2.544256628,0.012104
4.32,2.104032034,0.028911
4.36,1.781564594,0.0407445
4.4,1.65132986,0.0448605
4.44,1.713327832,0.041259
4.48,1.955080931,0.02994
4.52,2.364111577,0.0136475
4.56,2.82305254,-0.005046
4.6,3.269515925,-0.0223675
4.64,3.59783223,-0.0374595
4.68,3.777587356,-0.0436335
4.72,3.746783333,-0.0415755
4.76,3.542073047,-0.0323145
4.8,3.176324004,-0.016708
4.84,2.724011755,0.0040435
4.88,2.246354423,0.0253095
4.92,1.893082959,0.0383435
4.96,1.682523808,0.046404
5,1.638852281,0.048462
5.04,1.824846197,0.038172
5.08,2.153552427,0.023423
5.12,2.600015811,0.0033575
5.16,3.05856685,-0.017394
5.2,3.461748631,-0.032829
5.24,3.709350595,-0.041747
5.28,3.783826146,-0.0432905
5.32,3.647352623,-0.0367735
5.36,3.362317921,-0.0216815
5.4,2.922093326,-0.004017
5.44,2.463542287,0.0143335
5.48,2.060360506,0.030626
5.52,1.756609435,0.0414305
5.56,1.65756865,0.0445175
5.6,1.756609435,0.039887
5.64,2.010840113,0.027882
5.68,2.426109549,0.011075
5.72,2.878811723,-0.007447
5.76,3.319036317,-0.0244255
5.8,3.610309809,-0.0384885
5.84,3.765499702,-0.0436335
5.88,3.740544543,-0.040718
5.92,3.486313865,-0.0305995
5.96,3.120564822,-0.014307
6,2.662013783,0.006616
6.04,2.19683403,0.0266815
6.08,1.856040145,0.039887
6.12,1.682523808,0.046747
6.16,1.670046229,0.045375
6.2,1.862278935,0.036457
6.24,2.215550399,0.0211935
6.28,2.680340227,0.000442
6.32,3.108087242,-0.019452
6.36,3.498791444,-0.034201
6.4,3.734305753,-0.04209
6.44,3.765499702,-0.042776
6.48,3.616548599,-0.03523
6.52,3.319036317,-0.019452
6.56,2.872572933,-0.001616
6.6,2.414021894,0.016563
6.64,2.023317693,0.031998
6.68,1.756609435,0.041945
6.72,1.663807439,0.0438315
6.76,1.781564594,0.0383435
6.8,2.079076875,0.025481
6.84,2.488107521,0.0085025
6.88,2.928332116,-0.0100195
6.92,3.36855671,-0.0281985
6.96,3.641503757,-0.039689
7,3.765499702,-0.0436335
7.04,3.709350595,-0.039689
7.08,3.443032262,-0.02837
7.12,3.04608927,-0.009848
7.16,2.593777021,0.009017
7.2,2.159791216,0.028911
7.24,1.812758542,0.0414305
7.28,1.670046229,0.0472615
7.32,1.700850253,0.0445175
7.36,1.905560538,0.034399
7.4,2.265070791,0.01622
7.44,2.742338199,-0.002302
7.48,3.182562794,-0.0216815
7.52,3.542073047,-0.0354015
7.56,3.753022122,-0.042433
7.6,3.759260912,-0.0419185
7.64,3.573266996,-0.033515
7.68,3.250799556,-0.017051
7.72,2.810574961,0.0009565
7.76,2.352023922,0.018964
7.8,1.955080931,0.033713
7.84,1.732044201,0.042288
7.88,1.65756865,0.0434885
7.92,1.800280963,0.0368
7.96,2.116509613,0.02308
8,2.544256628,0.0057585
8.04,2.996568878,-0.012592
8.08,3.418077103,-0.0302565
8.12,3.672307781,-0.040718
8.16,3.759260912,-0.0432905
8.2,3.666068992,-0.038317
8.24,3.399750658,-0.0261405
8.28,2.977852509,-0.007104
8.32,2.525540259,0.0112465
8.36,2.110270823,0.028568
8.4,1.781564594,0.0421165
8.44,1.65132986,0.0465755
8.48,1.713327832,0.040573
8.52,1.955080931,0.029597
8.56,2.352023922,0.0133045
8.6,2.810574961,-0.005046
8.64,3.250799556,-0.024254
8.68,3.58535465,-0.036945
8.72,3.759260912,-0.042776
8.76,3.746783333,-0.0412325
8.8,3.535834258,-0.0316285
8.84,3.176324004,-0.01465
8.88,2.742338199,0.0037005
8.92,2.28378716,0.021365
8.96,1.905560538,0.0352565
9,1.700850253,0.0428025
9.04,1.670046229,0.042631
9.08,1.837323776,0.034742
9.12,2.19059524,0.020336
9.16,2.624581045,0.0026715
9.2,3.05856685,-0.0155075
9.24,3.455509841,-0.032486
9.28,3.709350595,-0.0415755
9.32,3.753022122,-0.0429475
9.36,3.635264968,-0.0367735
9.4,3.337752686,-0.023568
9.44,2.897528092,-0.00436
9.48,2.463542287,0.0139905
9.52,2.048272851,0.0301115
9.56,1.762848225,0.040573
9.6,1.65132986,0.0438315
9.64,1.756609435,0.0386865
9.68,2.017078903,0.0270245
9.72,2.426109549,0.0102175
9.76,2.878811723,-0.0079615
9.8,3.319036317,-0.026655
9.84,3.622787388,-0.0384885
9.88,3.759260912,-0.0432905
9.92,3.721828174,-0.040032
9.96,3.473836286,-0.029399
10,3.083522008,-0.011563
