"Frequency (Hz)","Amplitude (A)"
0,0.00106825
100,0.03506
200,0.066165
300,0.084995
400,0.082855
500,0.074065
600,0.0645
700,0.05615
800,0.04948
900,0.04446
1000,0.03931
1100,0.03642
1200,0.033085
1300,0.030965
1400,0.028385
1500,0.026715
1600,0.025045
1700,0.023515
1800,0.022305
1900,0.021245
2000,0.01927
