"Frequency (Hz)","Amplitude (A)"
0,0.001278
100,0.01717
200,0.03315
300,0.04347
400,0.04105
500,0.03468
600,0.02951
700,0.02558
800,0.02253
900,0.01980
1000,0.01768
1100,0.01646
1200,0.01495
1300,0.01434
1400,0.01312
1500,0.01221
1600,0.01162
1700,0.01101
1800,0.01040
1900,0.00917
