"Frequency (Hz)","Amplitude (A)"
0,0
100,0.003414
200,0.005245
300,0.006752
400,0.008888
500,0.01131
600,0.01495
700,0.02041
800,0.02739
900,0.03498
1000,0.03801
1100,0.03559
1200,0.03134
1300,0.0271
1400,0.02341
1500,0.02071
1600,0.01829
1700,0.01678
1800,0.01526
1900,0.01434
2000,0.01308
