Wavelength (microns),H2O Transmittance,H2O Absorption,CO2 Transmittance,CO2 Absorption,CH4 Transmittance,CH4 Absorption,O3 Transmittance,O3 Absorption,N2O Transmittance,N2O Absorption,N2 Transmittance,N2 Absorption,O2 Transmittance,O2 Absorption
11.999999999998,0.998926807898,0.001073192102,0.999982247107,0.000017752893,0.999999999998,0.000000000002,0.998455479065,0.001544520935,0.999999890324,0.000000109676,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.000532579267,0.998926698999,0.001073301001,0.999982176562,0.000017823438,0.999999999998,0.000000000002,0.998448829399,0.001551170601,0.999999890371,0.000000109629,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.001065205811,0.998926572428,0.001073427572,0.999982106503,0.000017893497,0.999999999998,0.000000000002,0.998442233990,0.001557766010,0.999999890417,0.000000109583,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.001597879637,0.998926427703,0.001073572297,0.999982036831,0.000017963169,0.999999999998,0.000000000002,0.998435679034,0.001564320966,0.999999890462,0.000000109538,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.002130600752,0.998926268880,0.001073731120,0.999981967793,0.000018032207,0.999999999998,0.000000000002,0.998429126521,0.001570873479,0.999999890506,0.000000109494,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.002663369160,0.998926100172,0.001073899828,0.999981899749,0.000018100251,0.999999999998,0.000000000002,0.998422550122,0.001577449878,0.999999890548,0.000000109452,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.003196184870,0.998925924574,0.001074075426,0.999981832931,0.000018167069,0.999999999998,0.000000000002,0.998415942921,0.001584057079,0.999999890590,0.000000109410,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.003729047886,0.998925744022,0.001074255978,0.999981767253,0.000018232747,0.999999999998,0.000000000002,0.998409265452,0.001590734548,0.999999890630,0.000000109370,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.004261958216,0.998925559749,0.001074440251,0.999981702205,0.000018297795,0.999999999998,0.000000000002,0.998402480436,0.001597519564,0.999999890668,0.000000109332,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.004794915865,0.998925372556,0.001074627444,0.999981637623,0.000018362377,0.999999999998,0.000000000002,0.998395547244,0.001604452756,0.999999890705,0.000000109295,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.005327920841,0.998925182996,0.001074817004,0.999981573820,0.000018426180,0.999999999998,0.000000000002,0.998388548851,0.001611451149,0.999999890740,0.000000109260,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.005860973148,0.998924991651,0.001075008349,0.999981511077,0.000018488923,0.999999999998,0.000000000002,0.998381630214,0.001618369786,0.999999890774,0.000000109226,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.006394072794,0.998924799045,0.001075200955,0.999981449498,0.000018550502,0.999999999998,0.000000000002,0.998374865971,0.001625134029,0.999999890806,0.000000109194,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.006927219785,0.998924605572,0.001075394428,0.999981389020,0.000018610980,0.999999999998,0.000000000002,0.998368233838,0.001631766162,0.999999890836,0.000000109164,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.007460414127,0.998924411419,0.001075588581,0.999981329587,0.000018670413,0.999999999998,0.000000000002,0.998361672578,0.001638327422,0.999999890865,0.000000109135,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.007993655827,0.998924216737,0.001075783263,0.999981271390,0.000018728610,0.999999999998,0.000000000002,0.998355051824,0.001644948176,0.999999890891,0.000000109109,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.008526944890,0.998924021723,0.001075978277,0.999981214724,0.000018785276,0.999999999998,0.000000000002,0.998348189910,0.001651810090,0.999999890916,0.000000109084,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.009060281324,0.998923826502,0.001076173498,0.999981159373,0.000018840627,0.999999999998,0.000000000002,0.998341065197,0.001658934803,0.999999890939,0.000000109061,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.009593665134,0.998923631120,0.001076368880,0.999981105037,0.000018894963,0.999999999998,0.000000000002,0.998333717816,0.001666282184,0.999999890959,0.000000109041,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.010127096326,0.998923435601,0.001076564399,0.999981051381,0.000018948619,0.999999999998,0.000000000002,0.998326369469,0.001673630531,0.999999890978,0.000000109022,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.010660574908,0.998923239962,0.001076760038,0.999980998108,0.000019001892,0.999999999998,0.000000000002,0.998319171223,0.001680828777,0.999999890994,0.000000109006,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.011194100885,0.998923044214,0.001076955786,0.999980944878,0.000019055122,0.999999999998,0.000000000002,0.998312114225,0.001687885775,0.999999891008,0.000000108992,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.011727674263,0.998922848355,0.001077151645,0.999980891336,0.000019108664,0.999999999998,0.000000000002,0.998305117337,0.001694882663,0.999999891020,0.000000108980,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.012261295050,0.998922652368,0.001077347632,0.999980837145,0.000019162855,0.999999999998,0.000000000002,0.998298138137,0.001701861863,0.999999891030,0.000000108970,1.000000000000,0.000000000000,1.000000000000,0.000000000000
12.012794963251,0.998922456223,0.001077543777,0.999980782008,0.000019217992,0.999999999998,0.000000000002,0.998291161922,0.001708838078,0.999999891038,0.000000108962,1.000000000000,0.000000000000,1.000000000000,0.000000000000
