Time (s),Position (m)
0.04,0.008163
0.08,0.009445
0.12,0.008648
0.16,0.007349
0.2,0.003972
0.24,0.000179
0.28,-0.004116
0.32,-0.006887
0.36,-0.009484
0.4,-0.009987
0.44,-0.008826
0.48,-0.005224
0.52,-0.000998
0.56,0.005652
0.6,0.010293
0.64,0.014813
0.68,0.016476
0.72,0.01587
0.76,0.012198
0.8,0.007332
0.84,0.000474
0.88,-0.006835
0.92,-0.012255
0.96,-0.016464
1,-0.016948
1.04,-0.015026
1.08,-0.009588
1.12,-0.003232
1.16,0.005912
1.2,0.013099
1.24,0.019853
1.28,0.022797
1.32,0.022485
1.36,0.01755
1.4,0.011107
1.44,0.001357
1.48,-0.007926
1.52,-0.016619
1.56,-0.020966
1.6,-0.023045
1.64,-0.020533
1.68,-0.014489
1.72,-0.006021
1.76,0.004336
1.8,0.015073
1.84,0.023005
1.88,0.027837
1.92,0.028148
1.96,0.023247
2,0.014935
2.04,0.003903
2.08,-0.007423
2.12,-0.01778
2.16,-0.024655
2.2,-0.030093
2.24,-0.028205
2.28,-0.019719
2.32,-0.009328
2.36,0.002448
2.4,0.015039
2.44,0.024494
2.48,0.031647
2.52,0.033067
2.56,0.028876
2.6,0.019905
2.64,0.007817
2.68,-0.005795
2.72,-0.020672
2.76,-0.030041
2.8,-0.034336
2.84,-0.030838
2.88,-0.024361
2.92,-0.013467
2.96,-0.00034
3,0.013549
3.04,0.025204
3.08,0.033413
3.12,0.036686
3.16,0.033275
3.2,0.024546
3.24,0.011661
3.28,-0.003215
3.32,-0.020204
3.36,-0.028881
3.4,-0.034665
3.44,-0.034838
3.48,-0.031496
3.52,-0.018628
3.56,-0.004254
3.6,0.011817
3.64,0.0251
3.68,0.035214
3.72,0.039319
3.76,0.037241
3.8,0.029032
3.84,0.015852
3.88,-1.1E-05
3.92,-0.016065
3.96,-0.030959
4,-0.038804
4.04,-0.04012
4.08,-0.035479
4.12,-0.022664
4.16,-0.008532
4.2,0.008423
4.24,0.023143
4.28,0.035561
4.32,0.041432
4.36,0.040895
4.4,0.03298
4.44,0.020338
4.48,0.004041
4.52,-0.013
4.56,-0.027582
4.6,-0.039272
4.64,-0.043099
4.68,-0.039445
4.72,-0.029677
4.76,-0.013069
4.8,0.004544
4.84,0.020961
4.88,0.034504
4.92,0.04254
4.96,0.043822
5,0.037258
5.04,0.025256
5.08,0.00825
5.12,-0.009502
5.16,-0.026145
5.2,-0.039549
5.24,-0.045108
5.28,-0.042528
5.32,-0.033765
5.36,-0.017676
5.4,0.000179
5.44,0.018312
5.48,0.033084
5.52,0.043181
5.56,0.045865
5.6,0.040635
5.64,0.029257
5.68,0.012683
5.72,-0.005951
5.76,-0.023685
5.8,-0.038804
5.84,-0.045818
5.88,-0.045368
5.92,-0.037315
5.96,-0.024084
6,-0.00396
6.04,0.014831
6.08,0.031041
6.12,0.042557
6.16,0.047199
6.2,0.043579
6.24,0.033275
6.28,0.017117
6.32,-0.00176
6.36,-0.020481
6.4,-0.037246
6.44,-0.046286
6.48,-0.047377
6.52,-0.040692
6.56,-0.027928
6.6,-0.008601
6.64,0.010882
6.68,0.028235
6.72,0.041553
6.76,0.047909
6.8,0.045917
6.84,0.036946
6.88,0.021498
6.92,0.002985
6.96,-0.017018
7,-0.035046
7.04,-0.045784
7.08,-0.048606
7.12,-0.043498
7.16,-0.031634
7.2,-0.012983
7.24,0.006726
7.28,0.024771
7.32,0.039838
7.36,0.047805
7.4,0.047632
7.44,0.039683
7.48,0.025724
7.52,0.007124
7.56,-0.013208
7.6,-0.032015
7.64,-0.04393
7.68,-0.048554
7.72,-0.045714
7.76,-0.034769
7.8,-0.017174
7.84,0.002431
7.88,0.020979
7.92,0.037293
7.96,0.046593
8,0.048723
8.04,0.042142
8.08,0.028928
8.12,0.01083
8.16,-0.008636
8.2,-0.028898
8.24,-0.041956
8.28,-0.048381
8.32,-0.046909
8.36,-0.037505
8.4,-0.020585
8.44,-0.001414
8.48,0.017567
8.52,0.034331
8.56,0.045536
8.6,0.048861
8.64,0.044064
8.68,0.032149
8.72,0.01464
8.76,-0.004912
8.8,-0.025608
8.84,-0.040017
8.88,-0.048035
8.92,-0.047689
8.96,-0.039739
9,-0.02585
9.04,-0.005172
9.08,0.013965
9.12,0.031439
9.16,0.043804
9.2,0.049086
9.24,0.045553
9.28,0.035041
9.32,0.018416
9.36,-0.00112
9.4,-0.020395
9.44,-0.037644
9.48,-0.047152
9.52,-0.048451
9.56,-0.04206
9.6,-0.02921
9.64,-0.008705
9.68,0.010553
9.72,0.028893
9.76,0.04228
9.8,0.048809
9.84,0.046644
9.88,0.037674
9.92,0.021862
9.96,0.002742
10,-0.017087
10.04,-0.035219
10.08,-0.045766
10.12,-0.04871
10.16,-0.043775
10.2,-0.031773
10.24,-0.012584
10.28,0.007193
10.32,0.025724
10.36,0.040393
10.4,0.04855
10.44,0.047701
10.48,0.039786
10.52,0.024841
10.56,0.006483
10.6,-0.013485
10.64,-0.032431
10.68,-0.044398
10.72,-0.048537
10.76,-0.045195
10.8,-0.034388
10.84,-0.016186
10.88,0.003608
10.92,0.022295
10.96,0.037985
11,0.047199
11.04,0.04855
11.08,0.041657
11.12,0.027941
11.16,0.010224
11.2,-0.0099
11.24,-0.027461
11.28,-0.040536
11.32,-0.047931
11.36,-0.046043
11.4,-0.036241
11.44,-0.019235
11.48,0.000197
11.52,0.019143
11.56,0.035647
11.6,0.046004
11.64,0.048342
11.68,0.043129
11.72,0.030556
11.76,0.01322
11.8,-0.006887
11.84,-0.026803
11.88,-0.040848
11.92,-0.047948
11.96,-0.047117
12,-0.036639
12.04,-0.022127
12.08,-0.002955
12.12,0.015697
12.16,0.033344
12.2,0.044878
12.24,0.048896
12.28,0.044809
12.32,0.033396
12.36,0.016493
12.4,-0.00344
12.44,-0.021728
12.48,-0.036432
12.52,-0.046892
12.56,-0.047325
12.6,-0.040484
12.64,-0.025105
12.68,-0.006523
12.72,0.012441
12.76,0.030192
12.8,0.042904
12.84,0.048272
12.88,0.045224
12.92,0.035491
12.96,0.019368
13,6.00000000001E-06
13.04,-0.018853
13.08,-0.036137
13.12,-0.045835
13.16,-0.047585
13.2,-0.041644
13.24,-0.027322
13.28,-0.009484
13.32,0.009601
13.36,0.027612
13.4,0.041189
13.44,0.048169
13.48,0.046506
13.52,0.037587
13.56,0.022139
13.6,0.003401
13.64,-0.015909
13.68,-0.031946
13.72,-0.044675
13.76,-0.047827
13.8,-0.043272
13.84,-0.02966
13.88,-0.012255
13.92,0.007003
13.96,0.025031
14,0.039128
14.04,0.047095
14.08,0.046679
14.12,0.039128
14.16,0.024477
14.2,0.006137
14.24,-0.013104
14.28,-0.02966
14.32,-0.043342
14.36,-0.047325
14.4,-0.043913
14.44,-0.031513
14.48,-0.015407
14.52,0.004145
14.56,0.022537
14.6,0.037812
14.64,0.046471
14.68,0.047112
14.72,0.040531
14.76,0.02678
14.8,0.008839
14.84,-0.010402
14.88,-0.027426
14.92,-0.042147
14.96,-0.047082
15,-0.044675
15.04,-0.033072
15.08,-0.017832
15.12,0.001011
15.16,0.019801
15.2,0.035907
15.24,0.045882
15.28,0.048082
15.32,0.041986
15.36,0.029395
15.4,0.011835
15.44,-0.007527
15.48,-0.025123
15.52,-0.040571
15.56,-0.047169
15.6,-0.046078
15.64,-0.037505
15.68,-0.020932
15.72,-0.001639
15.76,0.016614
15.8,0.033205
15.84,0.044289
15.88,0.047493
15.92,0.043146
15.96,0.031387
16,0.014519
16.04,-0.0046
16.08,-0.024672
16.12,-0.038995
16.16,-0.04639
16.2,-0.046684
16.24,-0.038631
16.28,-0.02301
16.32,-0.0046
16.36,0.014034
16.4,0.031041
16.44,0.042852
16.48,0.047528
16.52,0.044636
16.56,0.033725
16.6,0.017706
16.64,-0.001206
16.68,-0.019979
16.72,-0.034908
16.76,-0.045558
16.8,-0.046909
16.84,-0.040623
16.88,-0.027911
16.92,-0.008047
16.96,0.01083
17,0.028374
17.04,0.041258
17.08,0.047389
17.12,0.045294
17.16,0.035803
17.2,0.020494
17.24,0.001859
17.28,-0.017104
17.32,-0.034752
17.36,-0.044762
17.4,-0.047186
17.44,-0.042095
17.48,-0.030249
17.52,-0.011268
17.56,0.008215
17.6,0.02562
17.64,0.039648
17.68,0.046922
17.72,0.046194
17.76,0.037708
17.8,0.022884
17.84,0.004682
17.88,-0.014784
17.92,-0.032552
17.96,-0.043619
18,-0.047221
18.04,-0.043134
18.08,-0.031981
18.12,-0.013589
