Time (s),Position (m)
0.04,-0.00216
0.08,-0.000775
0.12,0.0008
0.16,0.003483
0.2,0.007342
0.24,0.010648
0.28,0.011739
0.32,0.010683
0.36,0.008537
0.4,0.005525
0.44,0.001613
0.48,-0.002575
0.52,-0.006919
0.56,-0.007837
0.6,-0.007871
0.64,-0.004583
0.68,-0.000914
0.72,0.004037
0.76,0.010008
0.8,0.015391
0.84,0.0179
0.88,0.017554
0.92,0.013919
0.96,0.008987
1,0.002565
1.04,-0.004254
1.08,-0.010675
1.12,-0.014327
1.16,-0.014673
1.2,-0.011783
1.24,-0.006262
1.28,0.00106
1.32,0.009333
1.36,0.017364
1.4,0.023006
1.44,0.024495
1.48,0.021812
1.52,0.015339
1.56,0.007187
1.6,-0.00209
1.64,-0.011056
1.68,-0.017668
1.72,-0.019831
1.76,-0.01862
1.8,-0.012354
1.84,-0.004289
1.88,0.006183
1.92,0.016689
1.96,0.024996
2,0.029047
2.04,0.028337
2.08,0.021552
2.12,0.012916
2.16,0.001648
2.2,-0.010069
2.24,-0.019848
2.28,-0.026997
2.32,-0.027672
2.36,-0.021856
2.4,-0.011143
2.44,0.000627
2.48,0.013971
2.52,0.025637
2.56,0.033252
2.6,0.03545
2.64,0.030777
2.68,0.020877
2.72,0.008814
2.76,-0.005327
2.8,-0.018498
2.84,-0.029766
2.88,-0.033297
2.92,-0.030475
2.96,-0.019537
3,-0.008114
3.04,0.007689
3.08,0.0224
3.12,0.034118
3.16,0.039327
3.2,0.037683
3.24,0.028735
3.28,0.016377
3.32,0.00151
3.36,-0.014102
3.4,-0.029229
3.44,-0.036741
3.48,-0.036966
3.52,-0.029835
3.56,-0.015746
3.6,-0.000325
3.64,0.017104
3.68,0.032647
3.72,0.041958
3.76,0.044122
3.8,0.037199
3.84,0.025083
3.88,0.010042
3.92,-0.008166
3.96,-0.026166
4,-0.038437
4.04,-0.042678
4.08,-0.038454
4.12,-0.027741
4.16,-0.010329
4.2,0.008589
4.24,0.027195
4.28,0.041231
4.32,0.048068
4.36,0.045731
4.4,0.034585
4.44,0.019891
4.48,0.001129
4.52,-0.017841
4.56,-0.035408
4.6,-0.044668
4.64,-0.044408
4.68,-0.036533
4.72,-0.022047
4.76,-0.00126
4.8,0.018818
4.84,0.037043
4.88,0.048605
4.92,0.050578
4.96,0.041768
5,0.028372
5.04,0.010596
5.08,-0.01
5.12,-0.03077
5.16,-0.044755
5.2,-0.049566
5.24,-0.044391
5.28,-0.031981
5.32,-0.011818
5.36,0.00961
5.4,0.030812
5.44,0.046631
5.48,0.054558
5.52,0.052049
5.56,0.039535
5.6,0.022314
5.64,0.00106
5.68,-0.022185
5.72,-0.039908
5.76,-0.050691
5.8,-0.050674
5.84,-0.041553
5.88,-0.025473
5.92,-0.002592
5.96,0.020046
6,0.040401
6.04,0.052724
6.08,0.056185
6.12,0.046804
6.16,0.031089
6.2,0.011548
6.24,-0.011004
6.28,-0.033522
6.32,-0.048389
6.36,-0.054741
6.4,-0.048597
6.44,-0.035062
6.48,-0.013202
6.52,0.01025
6.56,0.033166
6.6,0.050543
6.64,0.058487
6.68,0.05686
6.72,0.043014
6.76,0.023698
6.8,0.000921
6.84,-0.024418
6.88,-0.043197
6.92,-0.054949
6.96,-0.055572
7,-0.045464
7.04,-0.027845
7.08,-0.003129
7.12,0.021085
7.16,0.043101
