Time (s),Position (m)
0.04,0.00071
0.08,0.000987
0.12,0.001768
0.16,0.001942
0.2,0.001959
0.24,0.002184
0.28,0.001785
0.32,0.0013
0.36,0.000744
0.4,0.000102
0.44,-0.000366
0.48,-0.001043
0.52,-0.001615
0.56,-0.001945
0.6,-0.001685
0.64,-0.001719
0.68,-0.001494
0.72,-0.001095
0.76,-0.000262
0.8,0.00097
0.84,0.002028
0.88,0.002913
0.92,0.003486
0.96,0.003677
1,0.003746
1.04,0.003087
1.08,0.002184
1.12,0.001282
1.16,-0.000331
1.2,-0.001286
1.24,-0.002379
1.28,-0.003264
1.32,-0.003368
1.36,-0.003385
1.4,-0.00309
1.44,-0.0025
1.48,-0.001372
1.52,-0.000158
1.56,0.001456
1.6,0.003347
1.64,0.004492
1.68,0.005186
1.72,0.00536
1.76,0.004804
1.8,0.004041
1.84,0.002566
1.88,0.000727
1.92,-0.00113
1.96,-0.002795
2,-0.003888
2.04,-0.005155
2.08,-0.005311
2.12,-0.005103
2.16,-0.004548
2.2,-0.003368
2.24,-0.001424
2.28,0.000588
2.32,0.002618
2.36,0.004544
2.4,0.006036
2.44,0.006748
2.48,0.007129
2.52,0.006262
2.56,0.004804
2.6,0.002809
2.64,0.000553
2.68,-0.001511
2.72,-0.003802
2.76,-0.005467
2.8,-0.006578
2.84,-0.007046
2.88,-0.006456
2.92,-0.005346
2.96,-0.003767
3,-0.001667
3.04,0.000744
3.08,0.003278
3.12,0.005724
3.16,0.00739
3.2,0.008101
3.24,0.00791
3.28,0.006782
3.32,0.004961
3.36,0.002722
3.4,0.000397
3.44,-0.002171
3.48,-0.00453
3.52,-0.006283
3.56,-0.007428
3.6,-0.007671
3.64,-0.006821
3.68,-0.005554
3.72,-0.003871
3.76,-0.001182
3.8,0.00156
3.84,0.004249
3.88,0.006435
3.92,0.00824
3.96,0.008812
4,0.008257
4.04,0.007077
4.08,0.004683
4.12,0.002098
4.16,-0.000817
4.2,-0.003316
4.24,-0.005658
4.28,-0.007358
4.32,-0.008417
4.36,-0.008365
4.4,-0.007497
4.44,-0.005675
4.48,-0.003333
4.52,-0.000661
4.56,0.002341
4.6,0.004961
4.64,0.007286
4.68,0.008656
4.72,0.009159
4.76,0.008691
4.8,0.007164
4.84,0.004683
4.88,0.00208
4.92,-0.001268
4.96,-0.004149
5,-0.006265
5.04,-0.008
5.08,-0.008642
5.12,-0.008712
5.16,-0.007515
5.2,-0.005901
5.24,-0.003281
5.28,-0.000141
5.32,0.002965
5.36,0.005498
5.4,0.007754
5.44,0.008882
5.48,0.009159
5.52,0.008622
5.56,0.006869
5.6,0.004353
5.64,0.001352
5.68,-0.00165
5.72,-0.004704
5.76,-0.006803
5.8,-0.008105
5.84,-0.008504
5.88,-0.008417
5.92,-0.007289
5.96,-0.005242
6,-0.002552
6.04,0.000241
6.08,0.003694
6.12,0.006297
