Time (s),Position (m)
0.04,-0.003347
0.08,-0.00566
0.12,-0.007068
0.16,-0.00679
0.2,-0.005712
0.24,-0.003678
0.28,-0.0002
0.32,0.004024
0.36,0.010336
0.4,0.014178
0.44,0.01609
0.48,0.016334
0.52,0.014526
0.56,0.00851
0.6,0.003798
0.64,-0.001922
0.68,-0.00752
0.72,-0.011484
0.76,-0.013518
0.8,-0.013327
0.84,-0.010962
0.88,-0.005677
0.92,8.00000000001E-06
0.96,0.006893
1,0.014995
1.04,0.019498
1.08,0.02148
1.12,0.021567
1.16,0.018351
1.2,0.010527
1.24,0.002964
1.28,-0.005173
1.32,-0.012458
1.36,-0.017291
1.4,-0.018873
1.44,-0.017465
1.48,-0.01324
1.52,-0.006616
1.56,0.001416
1.6,0.010023
1.64,0.017568
1.68,0.024905
1.72,0.026957
1.76,0.025357
1.8,0.020489
1.84,0.010388
1.88,0.001434
1.92,-0.008459
1.96,-0.016491
2,-0.022003
2.04,-0.023341
2.08,-0.020977
2.12,-0.014683
2.16,-0.006616
2.2,0.003555
2.24,0.0131
2.28,0.023792
2.32,0.029026
2.36,0.030643
2.4,0.027722
2.44,0.021845
2.48,0.009936
2.52,-0.000652
2.56,-0.011884
2.6,-0.02016
2.64,-0.025428
2.68,-0.025845
2.72,-0.022489
2.76,-0.014822
2.8,-0.005521
2.84,0.005641
2.88,0.016021
2.92,0.026974
2.96,0.032068
3,0.032938
3.04,0.028904
3.08,0.021689
3.12,0.008858
3.16,-0.002617
3.2,-0.014231
3.24,-0.022768
3.28,-0.027879
3.32,-0.027566
3.36,-0.022872
3.4,-0.014022
3.44,-0.00366
3.48,0.008023
3.52,0.019237
3.56,0.029321
3.6,0.033737
3.64,0.033668
3.68,0.029026
3.72,0.020958
3.76,0.007293
3.8,-0.004286
3.84,-0.016004
3.88,-0.024506
3.92,-0.029096
3.96,-0.028175
4,-0.023028
4.04,-0.013675
4.08,-0.002617
4.12,0.009171
4.16,0.020211
4.2,0.030764
4.24,0.034746
4.28,0.034033
4.32,0.02873
4.36,0.019881
4.4,0.006406
4.44,-0.005903
4.48,-0.017221
4.52,-0.025271
4.56,-0.029183
4.6,-0.027723
4.64,-0.022107
4.68,-0.012527
4.72,-0.0014
4.76,0.010405
