Time (s),Position (m)
0.04,0.000109
0.08,0.00405
0.12,0.007938
0.16,0.011219
0.2,0.012608
0.24,0.011705
0.28,0.008962
0.32,0.004345
0.36,-1.3E-05
0.4,-0.005255
0.44,-0.008901
0.48,-0.011817
0.52,-0.011991
0.56,-0.010289
0.6,-0.005568
0.64,0.000231
0.68,0.006636
0.72,0.011757
0.76,0.01608
0.8,0.017312
0.84,0.016062
0.88,0.011584
0.92,0.005977
0.96,-0.001436
1,-0.008224
1.04,-0.013761
1.08,-0.016695
1.12,-0.016921
1.16,-0.013084
1.2,-0.007425
1.24,0.000317
1.28,0.008025
1.32,0.01542
1.36,0.020454
1.4,0.022121
1.44,0.019708
1.48,0.014101
1.52,0.006272
1.56,-0.002721
1.6,-0.010828
1.64,-0.017598
1.68,-0.020879
1.72,-0.020913
1.76,-0.015844
1.8,-0.008849
1.84,0.000578
1.88,0.009622
1.92,0.018319
1.96,0.023857
2,0.025471
2.04,0.022347
2.08,0.015906
2.12,0.006463
2.16,-0.003189
2.2,-0.012876
2.24,-0.020063
2.28,-0.02409
2.32,-0.023274
2.36,-0.018379
2.4,-0.009803
2.44,0.000456
2.48,0.01115
2.52,0.020211
2.56,0.02627
2.6,0.027416
2.64,0.024551
2.68,0.016982
2.72,0.006844
2.76,-0.004595
2.8,-0.014907
2.84,-0.02258
2.88,-0.026625
2.92,-0.025514
2.96,-0.019872
3,-0.010255
3.04,0.000977
3.08,0.012625
3.12,0.022329
3.16,0.028353
3.2,0.029238
3.24,0.025454
3.28,0.01726
3.32,0.006428
3.36,-0.005724
3.4,-0.016487
3.44,-0.024385
3.48,-0.028013
3.52,-0.026677
3.56,-0.020375
3.6,-0.010341
3.64,0.001585
3.68,0.013684
3.72,0.023735
3.76,0.029481
3.8,0.030523
3.84,0.025923
3.88,0.01733
3.92,0.006289
3.96,-0.006193
4,-0.017632
4.04,-0.025496
4.08,-0.029177
4.12,-0.027128
4.16,-0.020601
4.2,-0.009803
4.24,0.002157
4.28,0.014726
4.32,0.024551
4.36,0.030124
4.4,0.030453
4.44,0.025957
4.48,0.017069
4.52,0.005195
4.56,-0.007217
4.6,-0.018535
4.64,-0.026416
4.68,-0.029611
4.72,-0.027215
4.76,-0.020011
4.8,-0.009126
4.84,0.003373
4.88,0.015802
4.92,0.025298
4.96,0.030384
5,0.030158
5.04,0.025315
5.08,0.015958
5.12,0.004102
5.16,-0.008501
5.2,-0.01942
5.24,-0.027198
5.28,-0.029315
5.32,-0.026625
5.36,-0.018691
5.4,-0.007963
5.44,0.004831
5.48,0.01667
5.52,0.026061
5.56,0.030349
5.6,0.029516
5.64,0.023787
5.68,0.01417
5.72,0.002383
5.76,-0.010012
5.8,-0.020427
5.84,-0.027319
5.88,-0.028673
5.92,-0.025392
5.96,-0.017146
6,-0.006158
6.04,0.006549
6.08,0.018406
6.12,0.026565
6.16,0.030037
6.2,0.02844
