Time (s),Position (m)
0.04,-0.006173
0.08,-0.005999
0.12,-0.005234
0.16,-0.002782
0.2,0.000347
0.24,0.004276
0.28,0.008501
0.32,0.011596
0.36,0.013335
0.4,0.013265
0.44,0.010953
0.48,0.00718
0.52,0.001703
0.56,-0.00313
0.6,-0.008329
0.64,-0.011197
0.68,-0.012727
0.72,-0.011006
0.76,-0.008329
0.8,-0.002261
0.84,0.003181
0.88,0.00984
0.92,0.014673
0.96,0.018603
1,0.018898
1.04,0.017003
1.08,0.011283
1.12,0.004415
1.16,-0.003061
1.2,-0.010224
1.24,-0.015179
1.28,-0.01796
1.32,-0.016848
1.36,-0.013875
1.4,-0.007007
1.44,0.000834
1.48,0.009753
1.52,0.016725
1.56,0.022323
1.6,0.024375
1.64,0.022914
1.68,0.016864
1.72,0.009145
1.76,-0.0008
1.8,-0.009441
1.84,-0.017543
1.88,-0.021438
1.92,-0.022516
1.96,-0.021055
2,-0.01304
2.04,-0.003061
2.08,0.00685
2.12,0.017055
2.16,0.023627
2.2,0.028061
2.24,0.027191
2.28,0.022706
2.32,0.013769
2.36,0.003077
2.4,-0.007685
2.44,-0.017648
2.48,-0.026062
2.52,-0.028636
2.56,-0.025993
2.6,-0.019873
2.64,-0.007737
2.68,0.003303
2.72,0.015612
2.76,0.024514
2.8,0.030738
2.84,0.031642
2.88,0.028165
2.92,0.019298
2.96,0.008101
3,-0.005216
3.04,-0.016222
3.08,-0.027592
3.12,-0.031522
3.16,-0.031174
3.2,-0.023124
3.24,-0.013544
3.28,-0.000939
3.32,0.01217
3.36,0.023697
3.4,0.031955
3.44,0.035658
3.48,0.033259
3.52,0.02554
3.56,0.013595
3.6,-0.000192
3.64,-0.013683
3.68,-0.026949
3.72,-0.033399
3.76,-0.034877
3.8,-0.030287
3.84,-0.021073
3.88,-0.006312
3.92,0.007528
3.96,0.021176
4,0.031016
4.04,0.036962
4.08,0.036754
4.12,0.030512
4.16,0.019142
4.2,0.005024
4.24,-0.009928
4.28,-0.024532
4.32,-0.03373
4.36,-0.037103
4.4,-0.034582
4.44,-0.026532
4.48,-0.011997
4.52,0.002677
4.56,0.017629
4.6,0.029834
4.64,0.037901
4.68,0.040022
4.72,0.035589
4.76,0.02554
4.8,0.011231
4.84,-0.004625
4.88,-0.019456
4.92,-0.032808
4.96,-0.038911
5,-0.038441
5.04,-0.032026
5.08,-0.020151
5.12,-0.003426
5.16,0.012465
5.2,0.026635
5.24,0.036997
5.28,0.041848
5.32,0.040196
5.36,0.031155
5.4,0.017612
5.44,0.001008
5.48,-0.01497
5.52,-0.030722
5.56,-0.03865
5.6,-0.040945
5.64,-0.03632
5.68,-0.026271
5.72,-0.009424
5.76,0.006902
5.8,0.02314
5.84,0.035258
5.88,0.042474
5.92,0.042787
5.96,0.03618
6,0.023731
6.04,0.007406
6.08,-0.009876
6.12,-0.027332
6.16,-0.03792
6.2,-0.042684
6.24,-0.040128
6.28,-0.031869
6.32,-0.015752
6.36,0.000834
6.4,0.018168
6.44,0.032251
6.48,0.042143
6.52,0.044717
6.56,0.041065
6.6,0.029695
6.64,0.014447
6.68,-0.003565
6.72,-0.021768
6.76,-0.035434
6.8,-0.042597
6.84,-0.043205
6.88,-0.036685
6.92,-0.024445
6.96,-0.005964
7,0.011196
7.04,0.02773
7.08,0.039535
7.12,0.045516
7.16,0.044195
7.2,0.035206
7.24,0.021019
7.28,0.003112
7.32,-0.014414
7.36,-0.031904
7.4,-0.041588
7.44,-0.045048
7.48,-0.040597
7.52,-0.030339
7.56,-0.01231
7.6,0.005459
7.64,0.022706
7.68,0.03658
7.72,0.045429
7.76,0.046403
7.8,0.040231
7.84,0.026948
7.88,0.010205
7.92,-0.008555
7.96,-0.02714
8,-0.039502
8.04,-0.045309
8.08,-0.043257
8.12,-0.03519
8.16,-0.020986
8.2,-0.001618
8.24,0.01676
8.28,0.032303
8.32,0.043256
8.36,0.047481
8.4,0.043917
8.44,0.032946
8.48,0.017281
8.52,-0.001583
8.56,-0.019438
8.6,-0.036077
8.64,-0.044422
8.68,-0.045865
8.72,-0.039172
8.76,-0.027436
8.8,-0.008294
8.84,0.009631
8.88,0.027226
8.92,0.040057
8.96,0.047046
9,0.046281
9.04,0.037762
9.08,0.023262
9.12,0.005215
9.16,-0.013475
9.2,-0.03173
9.24,-0.042562
9.28,-0.04663
9.32,-0.042475
9.36,-0.032426
9.4,-0.014379
9.44,0.003616
9.48,0.021941
9.52,0.036458
9.56,0.046055
9.6,0.048072
9.64,0.042178
9.68,0.029469
9.72,0.012135
9.76,-0.006816
9.8,-0.026619
9.84,-0.039745
9.88,-0.046578
9.92,-0.04517
9.96,-0.037294
10,-0.02302
10.04,-0.003356
10.08,0.015317
10.12,0.031364
10.16,0.043169
10.2,0.04795
10.24,0.045134
10.28,0.034441
10.32,0.018846
10.36,-0.000122
10.4,-0.020481
10.44,-0.03552
10.48,-0.044579
10.52,-0.046508
10.56,-0.040562
10.6,-0.028827
10.64,-0.011875
10.68,0.008866
10.72,0.026235
10.76,0.039588
10.8,0.04722
10.84,0.047098
10.88,0.038979
10.92,0.024966
10.96,0.006658
11,-0.012275
11.04,-0.031052
11.08,-0.042249
11.12,-0.047013
11.16,-0.043727
11.2,-0.034095
11.24,-0.018273
11.28,0.00186
11.32,0.020445
11.36,0.035293
11.4,0.045395
11.44,0.048368
11.48,0.043082
11.52,0.030755
11.56,0.0137
11.6,-0.005495
11.64,-0.025384
11.68,-0.038911
11.72,-0.046143
11.76,-0.045604
11.8,-0.038146
11.84,-0.024289
11.88,-0.005095
11.92,0.014273
11.96,0.030686
12,0.042561
12.04,0.048159
12.08,0.045499
12.12,0.035345
12.16,0.019681
12.2,0.000817
12.24,-0.017561
12.28,-0.035207
12.32,-0.044648
12.36,-0.04703
12.4,-0.041675
12.44,-0.029766
12.48,-0.01085
12.52,0.007719
12.56,0.025696
12.6,0.039535
12.64,0.047585
12.68,0.047881
12.72,0.039866
12.76,0.026079
12.8,0.007667
12.84,-0.011406
12.88,-0.030496
12.92,-0.042231
12.96,-0.047552
13,-0.044457
13.04,-0.034773
13.08,-0.017143
13.12,0.00106
13.16,0.019854
13.2,0.035119
13.24,0.045655
13.28,0.048628
13.32,0.043639
13.36,0.031294
13.4,0.014656
13.44,-0.004938
13.48,-0.025158
13.52,-0.039172
13.56,-0.046387
13.6,-0.046248
13.64,-0.038841
13.68,-0.025037
13.72,-0.005442
13.76,0.013665
13.8,0.03039
13.84,0.042891
13.88,0.048646
13.92,0.046507
13.96,0.036371
14,0.020706
14.04,0.001529
14.08,-0.018969
14.12,-0.035434
14.16,-0.045187
14.2,-0.048004
14.24,-0.042805
14.28,-0.030826
14.32,-0.011823
14.36,0.007128
14.4,0.025314
14.44,0.039518
14.48,0.047794
14.52,0.048576
14.56,0.040683
14.6,0.026983
14.64,0.008727
14.68,-0.010537
14.72,-0.029835
14.76,-0.042058
14.8,-0.047604
14.84,-0.044944
14.88,-0.035868
14.92,-0.020551
14.96,-0.000418
15,0.018689
15.04,0.034407
15.08,0.045708
15.12,0.04908
15.16,0.044473
15.2,0.032425
15.24,0.015351
15.28,-0.00393
15.32,-0.024359
15.36,-0.038772
15.4,-0.046613
15.44,-0.046943
15.48,-0.039728
15.52,-0.026149
15.56,-0.006538
15.6,0.012622
15.64,0.029764
15.68,0.0427
15.72,0.048872
15.76,0.047046
15.8,0.037467
15.84,0.02161
15.88,0.00259
15.92,-0.017648
15.96,-0.034147
16,-0.044857
16.04,-0.047882
16.08,-0.04317
16.12,-0.031765
16.16,-0.0153
16.2,0.005493
16.24,0.023957
16.28,0.038527
16.32,0.04755
16.36,0.048628
16.4,0.041761
16.44,0.028095
16.48,0.009875
16.52,-0.009302
16.56,-0.028966
16.6,-0.04138
16.64,-0.047395
16.68,-0.045396
16.72,-0.036477
16.76,-0.021125
16.8,-0.000939
16.84,0.01829
16.88,0.034163
16.92,0.045325
16.96,0.049185
17,0.045169
17.04,0.033363
17.08,0.016499
17.12,-0.00313
17.16,-0.023802
17.2,-0.038424
17.24,-0.046752
17.28,-0.047152
17.32,-0.04051
17.36,-0.026984
17.4,-0.007529
17.44,0.011961
17.48,0.029469
17.52,0.042717
17.56,0.04915
17.6,0.047776
17.64,0.038023
17.68,0.022793
17.72,0.003929
17.76,-0.015248
17.8,-0.033782
17.84,-0.044353
17.88,-0.047865
17.92,-0.043379
17.96,-0.032269
18,-0.016031
18.04,0.005111
18.08,0.023853
18.12,0.038614
18.16,0.04769
18.2,0.048959
18.24,0.041848
18.28,0.028321
18.32,0.010188
18.36,-0.009007
18.4,-0.02907
18.44,-0.042058
18.48,-0.04823
18.52,-0.046109
18.56,-0.036633
18.6,-0.019334
18.64,-0.0012
18.68,0.018185
18.72,0.034459
18.76,0.045916
18.8,0.049654
18.84,0.045603
18.88,0.033659
18.92,0.016586
18.96,-0.002974
19,-0.023454
19.04,-0.038198
19.08,-0.046891
19.12,-0.047847
19.16,-0.041345
19.2,-0.027662
19.24,-0.007598
19.28,0.011631
19.32,0.029347
19.36,0.042422
19.4,0.049306
19.44,0.048089
19.48,0.038597
19.52,0.023262
19.56,0.003963
19.6,-0.017474
19.64,-0.034164
19.68,-0.044892
19.72,-0.048334
19.76,-0.043953
19.8,-0.032826
19.84,-0.016239
19.88,0.004815
19.92,0.023766
19.96,0.038266
20,0.047672
20.04,0.048959
20.08,0.04197
20.12,0.028513
20.16,0.010379
20.2,-0.008815
20.24,-0.028844
20.28,-0.041832
20.32,-0.048143
20.36,-0.046056
20.4,-0.037068
20.44,-0.021351
20.48,-0.001496
20.52,0.017925
20.56,0.034128
20.6,0.04602
20.64,0.049654
20.68,0.045794
20.72,0.034041
20.76,0.016968
20.8,-0.002713
20.84,-0.023385
20.88,-0.038267
20.92,-0.046804
20.96,-0.047691
21,-0.040997
21.04,-0.027384
21.08,-0.007877
21.12,0.011579
21.16,0.029121
21.2,0.0423
21.24,0.048854
21.28,0.047516
21.32,0.037936
21.36,0.02281
21.4,0.003442
21.44,-0.017335
21.48,-0.033886
21.52,-0.044387
21.56,-0.047986
21.6,-0.043501
21.64,-0.032287
21.68,-0.0157
21.72,0.005354
21.76,0.023888
21.8,0.038458
21.84,0.047481
21.88,0.048681
21.92,0.041778
21.96,0.028234
22,0.009979
22.04,-0.009511
22.08,-0.029522
22.12,-0.041971
22.16,-0.048264
22.2,-0.045726
22.24,-0.036755
22.28,-0.021455
22.32,-0.001287
22.36,0.01822
22.4,0.034302
22.44,0.045742
22.48,0.049498
22.52,0.045221
22.56,0.033329
22.6,0.016395
22.64,-0.002887
22.68,-0.023142
22.72,-0.038076
22.76,-0.046648
22.8,-0.047604
22.84,-0.040823
22.88,-0.027245
22.92,-0.00765
22.96,0.011596
23,0.029034
23.04,0.04223
23.08,0.048802
