Time (s),Position (m)
0.04,0.006042
0.08,0.008576
0.12,0.009722
0.16,0.009965
0.2,0.008646
0.24,0.005591
0.28,0.001876
0.32,-0.002759
0.36,-0.005971
0.4,-0.008384
0.44,-0.008887
0.48,-0.008071
0.52,-0.004929
0.56,-0.001266
0.6,0.005191
0.64,0.009913
0.68,0.014375
0.72,0.016579
0.76,0.015451
0.8,0.012222
0.84,0.007691
0.88,0.001164
0.92,-0.004773
0.96,-0.010259
1,-0.014095
1.04,-0.014824
1.08,-0.012567
1.12,-0.008123
1.16,-0.00144
1.2,0.00625
1.24,0.012916
1.28,0.018905
1.32,0.021735
1.36,0.020242
1.4,0.016336
1.44,0.009531
1.48,0.001164
1.52,-0.007238
1.56,-0.014078
1.6,-0.018522
1.64,-0.019893
1.68,-0.016473
1.72,-0.010467
1.76,-0.002048
1.8,0.007257
1.84,0.015433
1.88,0.022013
1.92,0.025641
1.96,0.024148
2,0.019652
2.04,0.011285
2.08,0.00132
2.12,-0.009269
2.16,-0.016786
2.2,-0.02241
2.24,-0.023504
2.28,-0.02057
2.32,-0.013401
2.36,-0.003645
2.4,0.007483
2.44,0.017308
2.48,0.025242
2.52,0.0288
2.56,0.02755
2.6,0.022273
2.64,0.013211
2.68,0.00198
2.72,-0.009616
2.76,-0.01899
2.8,-0.025223
2.84,-0.026681
2.88,-0.022844
2.92,-0.015258
2.96,-0.004842
3,0.007257
3.04,0.018263
3.08,0.026943
3.12,0.031265
3.16,0.030502
3.2,0.023888
3.24,0.014114
3.28,0.002414
3.32,-0.009825
3.36,-0.020414
3.4,-0.027167
3.44,-0.029406
3.48,-0.025587
3.52,-0.017532
3.56,-0.005953
3.6,0.006945
3.64,0.019183
3.68,0.028609
3.72,0.033626
3.76,0.032637
3.8,0.026474
3.84,0.01585
3.88,0.0029
3.92,-0.01045
3.96,-0.021473
4,-0.028503
4.04,-0.030899
4.08,-0.027618
4.12,-0.019685
4.16,-0.007186
4.2,0.00625
4.24,0.019027
4.28,0.029009
4.32,0.034095
4.36,0.033782
4.4,0.028106
4.44,0.017343
4.48,0.003768
4.52,-0.009686
4.56,-0.021542
4.6,-0.029597
4.64,-0.032218
4.68,-0.028955
4.72,-0.020865
4.76,-0.008314
4.8,0.005434
4.84,0.019253
4.88,0.030085
