Time (s),Position (m)
0.04,-0.006664
0.08,-0.007584
0.12,-0.006924
0.16,-0.003936
0.2,-0.000149
0.24,0.004471
0.28,0.008484
0.32,0.012393
0.36,0.014182
0.4,0.013383
0.44,0.010447
0.48,0.005653
0.52,0.000285
0.56,-0.005361
0.6,-0.01012
0.64,-0.012935
0.68,-0.013716
0.72,-0.010867
0.76,-0.006472
0.8,-2.8E-05
0.84,0.006678
0.88,0.01307
0.92,0.018021
0.96,0.019376
1,0.0175
1.04,0.012636
1.08,0.005826
1.12,-0.001574
1.16,-0.009182
1.2,-0.015037
1.24,-0.019953
1.28,-0.019953
1.32,-0.014133
1.36,-0.007324
1.4,0.000962
1.44,0.00977
1.48,0.017309
1.52,0.021964
1.56,0.022798
1.6,0.020071
1.64,0.013574
1.68,0.00501
1.72,-0.004405
1.76,-0.012865
1.8,-0.020908
1.84,-0.023566
1.88,-0.021916
1.92,-0.016756
1.96,-0.006351
2,0.003203
2.04,0.012966
2.08,0.020905
2.12,0.024796
2.16,0.0245
2.2,0.020123
2.24,0.012236
2.28,0.002543
2.32,-0.007202
2.36,-0.017434
2.4,-0.023809
2.44,-0.025181
2.48,-0.022489
2.52,-0.01356
2.56,-0.004405
2.6,0.006261
2.64,0.016405
2.68,0.023406
2.72,0.026133
2.76,0.024726
2.8,0.019046
2.84,0.010256
2.88,-0.000219
2.92,-0.01052
2.96,-0.020422
3,-0.024955
3.04,-0.025407
3.08,-0.021099
3.12,-0.011545
3.16,-0.001452
3.2,0.009214
3.24,0.018577
3.28,0.024222
3.32,0.025734
3.36,0.022902
3.4,0.016127
3.44,0.006747
3.48,-0.003485
3.52,-0.013143
3.56,-0.021724
3.6,-0.024712
3.64,-0.023479
3.68,-0.017833
3.72,-0.007636
3.76,0.002561
3.8,0.012271
3.84,0.019862
3.88,0.02417
3.92,0.024101
3.96,0.019932
4,0.012393
4.04,0.002856
4.08,-0.006959
4.12,-0.017312
4.16,-0.022298
4.2,-0.023462
4.24,-0.020422
4.28,-0.01217
4.32,-0.003137
4.36,0.0064
4.4,0.014599
4.44,0.020279
4.48,0.022902
4.52,0.021269
4.56,0.016006
4.6,0.008189
4.64,-0.000896
4.68,-0.009808
4.72,-0.015888
4.76,-0.021255
4.8,-0.020352
4.84,-0.016322
4.88,-0.006959
4.92,0.00124
4.96,0.009648
5,0.016023
5.04,0.019567
5.08,0.019741
5.12,0.016492
5.16,0.010499
5.2,0.003099
5.24,-0.005048
5.28,-0.01191
5.32,-0.017799
5.36,-0.018841
5.4,-0.016235
5.44,-0.008835
5.48,-0.001713
5.52,0.005809
5.56,0.012132
5.6,0.016735
5.64,0.018038
5.68,0.01651
5.72,0.011837
5.76,0.005427
5.8,-0.001921
5.84,-0.008488
5.88,-0.01283
5.92,-0.016722
5.96,-0.01488
6,-0.009235
6.04,-0.003224
6.08,0.003394
6.12,0.009266
6.16,0.013557
6.2,0.015363
6.24,0.014981
6.28,0.011611
6.32,0.00633
6.36,-4.5E-05
6.4,-0.006212
6.44,-0.010312
6.48,-0.012448
6.52,-0.013543
6.56,-0.008731
6.6,-0.003485
6.64,0.002769
6.68,0.007946
6.72,0.012288
6.76,0.014199
6.8,0.013609
6.84,0.010586
6.88,0.005878
6.92,0.000545
6.96,-0.005395
7,-0.009391
7.04,-0.011128
7.08,-0.010676
7.12,-0.008001
7.16,-0.003294
7.2,0.002422
7.24,0.007581
7.28,0.01135
7.32,0.013105
7.36,0.01274
7.4,0.010048
7.44,0.005635
7.48,0.000615
7.52,-0.00477
7.56,-0.008887
7.6,-0.010781
7.64,-0.010485
7.68,-0.007393
7.72,-0.003276
7.76,0.002526
7.8,0.00765
7.84,0.011785
7.88,0.013626
7.92,0.012983
7.96,0.010152
8,0.005566
8.04,0.000146
8.08,-0.005326
8.12,-0.00979
8.16,-0.011528
8.2,-0.013178
8.24,-0.007949
8.28,-0.003398
8.32,0.002508
8.36,0.008224
8.4,0.01248
8.44,0.014529
8.48,0.014095
8.52,0.011264
8.56,0.006417
8.6,0.000684
8.64,-0.005222
8.68,-0.009773
8.72,-0.014029
8.76,-0.012292
8.8,-0.009391
8.84,-0.00477
8.88,0.001397
8.92,0.007633
8.96,0.012427
9,0.015155
9.04,0.015224
9.08,0.012618
9.12,0.007789
9.16,0.00197
9.2,-0.00444
9.24,-0.010207
9.28,-0.015262
9.32,-0.015922
9.36,-0.011597
9.4,-0.006716
9.44,-0.000462
9.48,0.006591
9.52,0.012775
9.56,0.016492
9.6,0.017343
9.64,0.015189
9.68,0.010534
9.72,0.004228
9.76,-0.002929
9.8,-0.009373
9.84,-0.015818
9.88,-0.017382
9.92,-0.016114
9.96,-0.009443
10,-0.00338
10.04,0.004506
10.08,0.011281
10.12,0.01611
10.16,0.018021
10.2,0.016857
10.24,0.012896
10.28,0.006625
10.32,-0.000254
10.36,-0.007324
10.4,-0.015123
10.44,-0.017521
10.48,-0.017521
10.52,-0.011771
10.56,-0.006021
10.6,0.0019
10.64,0.009127
10.68,0.015224
10.72,0.018542
10.76,0.018473
10.8,0.015381
10.84,0.00977
10.88,0.002404
10.92,-0.005222
10.96,-0.011927
11,-0.017833
11.04,-0.018823
11.08,-0.01627
11.12,-0.008991
11.16,-0.0014
11.2,0.006591
11.24,0.013226
11.28,0.017812
11.32,0.01915
11.36,0.017326
11.4,0.012445
11.44,0.005514
11.48,-0.001921
11.52,-0.009043
11.56,-0.016461
11.6,-0.018598
11.64,-0.01766
11.68,-0.013021
11.72,-0.004701
11.76,0.003325
11.8,0.010603
11.84,0.015884
11.88,0.018594
11.92,0.018229
11.96,0.014564
12,0.008397
12.04,0.000876
12.08,-0.006803
12.12,-0.015123
12.16,-0.018094
12.2,-0.018129
12.24,-0.014463
12.28,-0.007289
12.32,0.000337
12.36,0.007998
12.4,0.014303
12.44,0.018004
12.48,0.018594
12.52,0.016197
12.56,0.010968
12.6,0.003655
12.64,-0.003884
12.68,-0.012327
12.72,-0.016513
12.76,-0.018233
12.8,-0.016096
12.84,-0.011215
12.88,-0.002564
12.92,0.005062
12.96,0.011611
13,0.01618
13.04,0.01776
13.08,0.016822
13.12,0.012254
13.16,0.006191
13.2,-0.001087
13.24,-0.008071
13.28,-0.015002
13.32,-0.017347
13.36,-0.016669
13.4,-0.012552
13.44,-0.00451
13.48,0.002856
13.52,0.009804
13.56,0.014929
13.6,0.017361
13.64,0.016805
13.68,0.013418
13.72,0.007702
13.76,0.000945
13.8,-0.00609
13.84,-0.01184
13.88,-0.016409
13.92,-0.016843
13.96,-0.013404
14,-0.006299
14.04,0.000598
14.08,0.007477
14.12,0.012931
14.16,0.016232
14.2,0.016631
14.24,0.014512
14.28,0.009631
14.32,0.003047
14.36,-0.003919
14.4,-0.009756
14.44,-0.01528
14.48,-0.016166
14.52,-0.014012
14.56,-0.007741
14.6,-0.001244
14.64,0.005687
14.68,0.011837
14.72,0.015554
14.76,0.016544
14.8,0.014738
14.84,0.010412
14.88,0.004367
14.92,-0.002373
14.96,-0.00854
15,-0.014759
15.04,-0.014359
15.08,-0.014932
15.12,-0.008887
15.16,-0.00239
15.2,0.004385
15.24,0.010551
15.28,0.014755
15.32,0.016284
15.36,0.015381
15.4,0.011541
15.44,0.005913
15.48,-0.000723
15.52,-0.007167
15.56,-0.011944
15.6,-0.015714
15.64,-0.015471
15.68,-0.00946
15.72,-0.004093
15.76,0.002734
15.8,0.009109
15.84,0.013748
15.88,0.016075
15.92,0.015589
15.96,0.012462
16,0.007094
16.04,0.000528
16.08,-0.005604
16.12,-0.011024
16.16,-0.015575
16.2,-0.015558
16.24,-0.012466
16.28,-0.005465
16.32,0.001327
16.36,0.007876
16.4,0.013157
16.44,0.01611
16.48,0.016249
16.52,0.013956
16.56,0.008866
16.6,0.002439
16.64,-0.004562
16.68,-0.012049
16.72,-0.015488
16.76,-0.016565
16.8,-0.012101
16.84,-0.007219
16.88,-0.000566
16.92,0.006434
16.96,0.012219
17,0.015902
17.04,0.016822
17.08,0.014842
17.12,0.010204
17.16,0.004072
17.2,-0.002842
17.24,-0.0092
17.28,-0.013438
17.32,-0.016947
17.36,-0.015019
17.4,-0.008731
17.44,-0.002494
17.48,0.00468
17.52,0.01102
17.56,0.015346
17.6,0.017066
17.64,0.015763
17.68,0.011767
17.72,0.005792
17.76,-0.000809
17.8,-0.00781
17.84,-0.014759
17.88,-0.016791
17.92,-0.016357
17.96,-0.010398
18,-0.004753
18.04,0.002508
18.08,0.009214
18.12,0.014668
18.16,0.017048
18.2,0.016683
18.24,0.01347
18.28,0.008241
18.32,0.001397
18.36,-0.005656
18.4,-0.011528
18.44,-0.016791
18.48,-0.016965
18.52,-0.013873
18.56,-0.006907
18.6,5.9E-05
18.64,0.007233
18.68,0.013001
18.72,0.016874
18.76,0.017274
18.8,0.015085
18.84,0.010013
18.88,0.003342
18.92,-0.003849
18.96,-0.010277
19,-0.01627
19.04,-0.017086
19.08,-0.015488
19.12,-0.008488
19.16,-0.001939
19.2,0.005305
19.24,0.011628
19.28,0.016214
19.32,0.017674
19.36,0.016162
19.4,0.011854
19.44,0.005548
19.48,-0.001574
19.52,-0.00814
19.56,-0.015037
19.6,-0.017104
19.64,-0.016339
19.68,-0.010346
19.72,-0.00444
19.76,0.002977
19.8,0.009665
19.84,0.014668
19.88,0.017083
19.92,0.016527
19.96,0.013157
20,0.007546
20.04,0.000945
20.08,-0.005986
20.12,-0.013768
20.16,-0.016687
20.2,-0.016982
20.24,-0.011788
20.28,-0.006594
20.32,0.000702
20.36,0.00798
20.4,0.013695
20.44,0.016614
20.48,0.017326
20.52,0.014755
20.56,0.009804
20.6,0.003047
20.64,-0.004006
20.68,-0.012431
20.72,-0.016096
20.76,-0.017399
20.8,-0.01316
20.84,-0.008522
20.88,-0.001817
20.92,0.005548
20.96,0.012028
21,0.016006
21.04,0.017448
21.08,0.015745
21.12,0.01142
21.16,0.005114
21.2,-0.0018
21.24,-0.00847
21.28,-0.013108
21.32,-0.016895
21.36,-0.015714
21.4,-0.009599
21.44,-0.003467
21.48,0.003638
21.52,0.010169
21.56,0.01479
21.6,0.016961
21.64,0.016075
21.68,0.012514
21.72,0.006851
21.76,-2.8E-05
21.8,-0.006438
21.84,-0.012205
21.88,-0.016339
21.92,-0.016235
21.96,-0.010781
22,-0.0055
22.04,0.00157
22.08,0.008276
22.12,0.013678
22.16,0.016544
22.2,0.016614
22.24,0.013748
22.28,0.008588
22.32,0.002126
22.36,-0.004527
22.4,-0.012518
22.44,-0.015714
22.48,-0.016739
22.52,-0.012188
22.56,-0.007515
22.6,-0.000705
22.64,0.006191
22.68,0.011958
22.72,0.015988
22.76,0.016874
22.8,0.014825
22.84,0.010343
22.88,0.004037
22.92,-0.002772
22.96,-0.009043
23,-0.015158
23.04,-0.016635
23.08,-0.015054
23.12,-0.008922
23.16,-0.002616
23.2,0.004888
23.24,0.011038
23.28,0.015259
23.32,0.016874
23.36,0.015658
23.4,0.011715
23.44,0.005913
23.48,-0.000931
23.52,-0.007185
23.56,-0.014515
23.6,-0.016617
23.64,-0.016096
23.68,-0.010312
23.72,-0.004336
23.76,0.002752
23.8,0.009162
23.84,0.01406
23.88,0.01651
23.92,0.01618
23.96,0.013018
24,0.007668
24.04,0.000997
24.08,-0.005726
24.12,-0.013334
24.16,-0.014098
24.2,-0.015957
24.24,-0.01118
24.28,-0.006212
24.32,0.00065
24.36,0.007459
24.4,0.012862
24.44,0.016197
24.48,0.01651
24.52,0.014026
24.56,0.009162
24.6,0.002995
24.64,-0.003936
24.68,-0.011684
24.72,-0.013699
24.76,-0.016635
24.8,-0.014463
24.84,-0.008001
24.88,-0.001626
24.92,0.005601
24.96,0.011663
25,0.015537
25.04,0.016822
25.08,0.015207
25.12,0.01135
25.16,0.005253
25.2,-0.001574
25.24,-0.00814
25.28,-0.012761
25.32,-0.016548
25.36,-0.015488
25.4,-0.011475
25.44,-0.003693
25.48,0.003603
25.52,0.009978
25.56,0.014564
25.6,0.016562
25.64,0.01611
25.68,0.012514
25.72,0.006973
25.76,0.000163
25.8,-0.006525
25.84,-0.014012
25.88,-0.016426
25.92,-0.016322
25.96,-0.010902
26,-0.005257
26.04,0.001553
26.08,0.008606
26.12,0.013869
26.16,0.016857
26.2,0.016927
26.24,0.014095
26.28,0.008866
26.32,0.002126
26.36,-0.004683
26.4,-0.012761
26.44,-0.015749
26.48,-0.016878
26.52,-0.012361
26.56,-0.007497
26.6,-0.000427
26.64,0.006608
26.68,0.012427
26.72,0.016006
26.76,0.016996
26.8,0.014877
26.84,0.01036
26.88,0.004228
26.92,-0.002772
26.96,-0.009096
27,-0.013369
27.04,-0.016565
27.08,-0.0129
27.12,-0.010642
27.16,-0.002529
27.2,0.004506
27.24,0.010795
27.28,0.015207
27.32,0.016874
27.36,0.015676
27.4,0.011802
27.44,0.006243
27.48,-0.000584
27.52,-0.007237
27.56,-0.012292
27.6,-0.016583
27.64,-0.016061
27.68,-0.010416
27.72,-0.004753
27.76,0.002369
27.8,0.009057
27.84,0.014112
27.88,0.016562
27.92,0.016631
27.96,0.01347
28,0.008206
28.04,0.001466
28.08,-0.005413
28.12,-0.011145
28.16,-0.015957
28.2,-0.016148
28.24,-0.01356
28.28,-0.006646
28.32,0.00058
28.36,0.007147
28.4,0.012966
