Time (s),Force (N),Position (m)
8,2.338766269,-0.0015435
8.04,1.861498861,0.023324
8.08,1.427513056,0.040474
8.12,1.136239564,0.0509355
8.16,1.061764013,0.0533365
8.2,1.154955933,0.0478485
8.24,1.452468215,0.0344715
8.28,1.892302885,0.0111475
8.32,2.345005059,-0.0090895
8.36,2.816033677,-0.0282975
8.4,3.150978696,-0.0406455
8.44,3.28745222,-0.0454475
8.48,3.237541902,-0.0420175
8.52,3.008266383,-0.031213
8.56,2.623800971,-0.014749
8.6,2.140294773,0.0070315
8.64,1.669266155,0.0258965
8.68,1.309755901,0.041846
8.72,1.098806827,0.049049
8.76,1.098806827,0.04802
8.8,1.309755901,0.036015
8.84,1.663027365,0.0200655
8.88,2.128207118,-0.001029
8.92,2.611713316,-0.019551
8.96,3.002027593,-0.034986
9,3.250019482,-0.0440755
9.04,3.28745222,-0.044933
9.08,3.144739906,-0.038073
9.12,2.809794887,-0.021609
9.16,2.345005059,-0.002744
9.2,1.88021523,0.019894
9.24,1.452468215,0.039445
9.28,1.148717144,0.050421
9.32,1.055525223,0.0533365
9.36,1.154955933,0.0478485
9.4,1.433751846,0.0320705
9.44,1.861498861,0.0111475
9.48,2.345005059,-0.01029
9.52,2.809794887,-0.028469
9.56,3.132262327,-0.040817
9.6,3.305778664,-0.045619
9.64,3.262497061,-0.042532
9.68,3.020743962,-0.0317275
9.72,2.64251734,-0.0149205
9.76,2.146533563,0.0049735
9.8,1.656788576,0.0255535
9.84,1.297278322,0.039788
9.88,1.092957961,0.049049
9.92,1.092957961,0.0457905
9.96,1.297278322,0.036015
10,1.663027365,0.0180075
