Time (s),Force (N),Position (m)
0.08,0.9007252553,0.050677
0.12,0.9132028346,0.04759
0.16,1.210715116,0.035242
0.2,1.669266155,0.016377
0.24,2.221009114,-0.0054035
0.28,2.766513284,-0.029242
0.32,3.206737879,-0.046049
0.36,3.454729767,-0.0544525
0.4,3.479295001,-0.053252
0.44,3.250019482,-0.0438195
0.48,2.822272467,-0.0259835
0.52,2.289245876,-0.0016305
0.56,1.731264127,0.02015
0.6,1.253996719,0.0381575
0.64,0.9564844377,0.0487905
0.68,0.8820088863,0.0501625
0.72,1.080480382,0.0415875
0.76,1.452468215,0.0251235
0.8,1.985494805,0.003686
0.84,2.543476554,-0.020324
0.88,3.039460331,-0.0393605
0.92,3.367776636,-0.05188
0.96,3.49801137,-0.054967
1,3.367776636,-0.048793
1.04,3.026982752,-0.033701
1.08,2.512282606,-0.011063
1.12,1.948451992,0.0114035
1.16,1.439990635,0.031126
1.2,1.068002803,0.045532
1.24,0.8944864656,0.050677
1.28,0.9627232274,0.046218
1.32,1.272713088,0.032498
1.36,1.762458075,0.012947
1.4,2.314201035,-0.011406
1.44,2.853466415,-0.0325005
1.48,3.262497061,-0.047764
1.52,3.460968557,-0.054281
1.56,3.454729767,-0.052223
1.6,3.17554393,-0.0410755
1.64,2.747796915,-0.0218675
1.68,2.19020509,0.002314
1.72,1.644700921,0.02358
1.76,1.204476326,0.040387
1.8,0.9252904895,0.0494765
1.84,0.9007252553,0.0491335
1.88,1.142478354,0.039015
1.92,1.545270211,0.0216935
1.96,2.084535591,-0.000087
2,2.654994919,-0.023754
2.04,3.107697093,-0.041933
2.08,3.417297029,-0.052566
2.12,3.485533791,-0.054281
2.16,3.305778664,-0.046049
2.2,2.933790831,-0.030271
2.24,2.41948061,-0.009348
2.28,1.87397644,0.015005
2.32,1.353037505,0.034213
2.36,1.01224362,0.0467325
2.4,0.888247676,0.0501625
2.44,1.0247212,0.0439885
2.48,1.353037505,0.0292395
2.52,1.867737651,0.0090025
2.56,2.407003031,-0.0153505
2.6,2.921703177,-0.0349015
2.64,3.28745222,-0.048793
2.68,3.454729767,-0.054281
2.72,3.398970584,-0.0499935
2.76,3.088980724,-0.037131
2.8,2.654994919,-0.017923
2.84,2.09701317,0.006087
2.88,1.570225369,0.0268385
2.92,1.167043588,0.0422735
2.96,0.9315292792,0.049991
3,0.9502456481,0.0477615
3.04,1.216953906,0.036614
3.08,1.638462131,0.0182635
3.12,2.183966301,-0.0050605
3.16,2.723231681,-0.026498
3.2,3.144739906,-0.043305
3.24,3.429774608,-0.052566
3.28,3.436013398,-0.0527375
3.32,3.250019482,-0.0434765
3.36,2.853466415,-0.026841
3.4,2.3200499,-0.0054035
3.44,1.793262099,0.018092
3.48,1.309755901,0.036271
3.52,1.006004831,0.047247
3.56,0.9190516999,0.0498195
3.6,1.074241592,0.0422735
3.64,1.433751846,0.026324
3.68,1.935974412,0.005744
3.72,2.469001003,-0.017923
3.76,2.971223569,-0.036788
3.8,3.299539875,-0.0493075
3.84,3.448490977,-0.0530805
3.88,3.336972612,-0.047764
3.92,3.033221541,-0.0338725
3.96,2.561802999,-0.0126065
4,2.016298829,0.0093455
4.04,1.514466187,0.029068
4.08,1.130000775,0.0433025
4.12,0.9315292792,0.049305
4.16,1.01224362,0.045875
4.2,1.278951878,0.0336985
4.24,1.725025337,0.0151765
4.28,2.270529507,-0.0081475
4.32,2.772752074,-0.028556
4.36,3.17554393,-0.043991
4.4,3.417297029,-0.05188
4.44,3.392731795,-0.0503365
4.48,3.18178272,-0.0403895
4.52,2.766513284,-0.0215245
4.56,2.252203063,-0.0006015
4.6,1.725025337,0.02015
4.64,1.284800743,0.0373
4.68,1.0247212,0.0484475
4.72,0.9564844377,0.047247
4.76,1.148717144,0.0388435
4.8,1.514466187,0.023237
4.84,1.991733595,0.0028285
4.88,2.518521396,-0.019981
4.92,2.983701149,-0.037817
4.96,3.28745222,-0.048793
5,3.411448164,-0.0513655
5.04,3.27497464,-0.0431335
5.08,2.96498478,-0.0290705
5.12,2.487717372,-0.010034
5.16,1.966778436,0.0110605
5.2,1.495749818,0.029754
5.24,1.148717144,0.043131
5.28,0.9997660409,0.0481045
5.32,1.068002803,0.045875
5.36,1.34094985,0.0312975
5.4,1.799500889,0.012947
5.44,2.307962245,-0.007633
5.48,2.803946022,-0.029242
5.52,3.18178272,-0.043648
5.56,3.367776636,-0.050508
5.6,3.349450192,-0.0482785
5.64,3.107697093,-0.0379885
5.68,2.704515312,-0.02101
5.72,2.202292745,0.001285
5.76,1.700460103,0.020836
5.8,1.278951878,0.0367855
5.84,1.049286434,0.04759
5.88,1.01224362,0.047933
5.92,1.198237537,0.039358
5.96,1.551509,0.021522
6,2.035015198,0.0014565
6.04,2.543476554,-0.018609
6.08,2.983701149,-0.0373025
6.12,3.262497061,-0.047421
6.16,3.343211402,-0.0493075
6.2,3.212976668,-0.042619
6.24,2.915464387,-0.028899
6.28,2.462762213,-0.008319
6.32,1.966778436,0.0120895
6.36,1.514466187,0.030097
6.4,1.179521168,0.0450175
6.44,1.068002803,0.0501625
6.48,1.130000775,0.046218
6.52,1.402557897,0.0336985
6.56,1.842782492,0.0134615
6.6,2.3200499,-0.006947
6.64,2.791468443,-0.0259835
6.68,3.132262327,-0.04159
6.72,3.312017454,-0.048107
6.76,3.293691009,-0.0458775
6.8,3.064025565,-0.0362735
6.84,2.673711288,-0.0180945
6.88,2.19020509,0.0007705
6.92,1.712547758,0.02015
6.96,1.322233481,0.037643
7,1.098806827,0.0463895
7.04,1.068002803,0.046561
7.08,1.253996719,0.038329
7.12,1.570225369,0.0234085
7.16,2.028776408,0.002314
7.2,2.506043816,-0.017237
7.24,2.933790831,-0.035416
7.28,3.206737879,-0.0448485
7.32,3.299539875,-0.047078
7.36,3.18178272,-0.040904
7.4,2.902986808,-0.028213
7.44,2.469001003,-0.007976
7.48,1.997972384,0.011918
7.52,1.55774779,0.0330125
