Time (s),Position (m)
0.16,0.0746025
0.2,0.072716
0.24,0.0629405
0.28,0.0416745
0.32,0.0135485
0.36,-0.0186935
0.4,-0.0488775
0.44,-0.062769
0.48,-0.069972
0.52,-0.0656845
0.56,-0.0454475
0.6,-0.0183505
0.64,0.011319
0.68,0.0385875
0.72,0.0540225
0.76,0.0663705
0.8,0.065513
0.84,0.049049
0.88,0.0255535
0.92,-0.0018865
0.96,-0.029841
1,-0.052822
1.04,-0.0646555
1.08,-0.064141
1.12,-0.053165
1.16,-0.03087
1.2,-0.0032585
1.24,0.0241815
1.28,0.0457905
1.32,0.0581385
1.36,0.0591675
1.4,0.0512785
1.44,0.033957
1.48,0.010633
1.52,-0.0169785
1.56,-0.0416745
1.6,-0.0588245
1.64,-0.0619115
1.68,-0.055909
1.72,-0.039445
1.76,-0.0156065
1.8,0.010976
1.84,0.0343
1.88,0.051793
1.92,0.0608825
1.96,0.0581385
2,0.044247
2.04,0.0217805
2.08,-0.0032585
2.12,-0.027097
2.16,-0.046991
2.2,-0.057624
2.24,-0.056938
2.28,-0.0464765
2.32,-0.0286405
2.36,-0.003087
2.4,0.0210945
2.44,0.040131
2.48,0.051107
2.52,0.051793
2.56,0.0430465
2.6,0.028126
2.64,0.008918
2.68,-0.0156065
2.72,-0.0372155
2.76,-0.0512785
2.8,-0.055909
2.84,-0.050078
2.88,-0.034643
2.92,-0.013034
2.96,0.009604
3,0.0313845
3.04,0.0475055
3.08,0.0547085
3.12,0.0519645
3.16,0.0396165
3.2,0.0204085
3.24,-0.0029155
3.28,-0.0252105
3.32,-0.0430465
3.36,-0.052479
3.4,-0.051793
3.44,-0.0416745
3.48,-0.0248675
3.52,-0.002058
3.56,0.020237
3.6,0.038073
3.64,0.0485345
3.68,0.0505925
3.72,0.0430465
3.76,0.0276115
3.8,0.007203
3.84,-0.0149205
3.88,-0.0341285
3.92,-0.046991
3.96,-0.0509355
4,-0.0451045
4.04,-0.0306985
4.08,-0.010976
4.12,0.010633
4.16,0.030527
4.2,0.0451045
4.24,0.050764
4.28,0.046991
4.32,0.0348145
4.36,0.01715
4.4,-0.004116
4.44,-0.024696
4.48,-0.040474
4.52,-0.048363
4.56,-0.0468195
4.6,-0.037044
4.64,-0.0204085
4.68,0.0001715
4.72,0.0204085
4.76,0.037044
4.8,0.0464765
4.84,0.0475055
4.88,0.039788
4.92,0.0245245
4.96,0.005488
5,-0.0145775
5.04,-0.0317275
5.08,-0.0430465
5.12,-0.046305
5.16,-0.040131
5.2,-0.027097
5.24,-0.0090895
5.28,0.010633
5.32,0.028126
5.36,0.0403025
