Time (s),Force (N),Position (m)
0.52,0.9377680688,0.0488775
0.56,1.260235509,0.039445
0.6,1.725025337,0.0204085
0.64,2.252203063,-0.0073745
0.68,2.772752074,-0.0282975
0.72,3.212976668,-0.044247
0.76,3.436013398,-0.0519645
0.8,3.423535819,-0.0502495
0.84,3.206737879,-0.0392735
0.88,2.760274494,-0.021266
0.92,2.214770325,0.000686
0.96,1.694221313,0.0221235
1,1.247757929,0.04116
1.04,0.9502456481,0.050764
1.08,0.9132028346,0.0509355
1.12,1.142478354,0.0416745
1.16,1.495749818,0.0231525
1.2,2.041253988,0.0018865
1.24,2.605474526,-0.019894
1.28,3.064025565,-0.038073
1.32,3.355299057,-0.0492205
1.36,3.467207346,-0.0516215
1.4,3.312017454,-0.0447615
1.44,2.95874599,-0.029498
1.48,2.456523423,-0.0090895
1.52,1.917258043,0.0149205
1.56,1.402557897,0.0413315
1.6,1.055525223,0.0495635
1.64,0.9190516999,0.053851
1.68,1.006004831,0.046305
1.72,1.303517112,0.032928
1.76,1.799500889,0.0132055
1.8,2.332527479,-0.0080605
1.84,2.840988835,-0.0303555
1.88,3.237541902,-0.045276
1.92,3.436013398,-0.0516215
1.96,3.392731795,-0.0485345
2,3.132262327,-0.036701
2.04,2.704515312,-0.0183505
2.08,2.165249932,0.0032585
2.12,1.619745762,0.0241815
2.16,1.222802771,0.040131
2.2,0.9627232274,0.050421
2.24,0.9377680688,0.0499065
2.28,1.198237537,0.0379015
2.32,1.594790603,0.0207515
2.36,2.10325196,-0.0001715
2.4,2.64251734,-0.021609
2.44,3.101458303,-0.038759
2.48,3.374015426,-0.049049
2.52,3.423535819,-0.050421
2.56,3.268735851,-0.042532
2.6,2.890509228,-0.027097
2.64,2.382047872,-0.006174
2.68,1.867737651,0.01715
2.72,1.377992663,0.03773
2.76,1.049286434,0.050764
2.8,0.9377680688,0.0543655
2.84,1.068002803,0.0485345
2.88,1.365515084,0.033957
2.92,1.849021282,0.0118335
2.96,2.376199007,-0.0101185
3,2.865943994,-0.029498
3.04,3.219215458,-0.0451045
3.08,3.411448164,-0.050764
3.12,3.343211402,-0.0468195
3.16,3.057786776,-0.0343
3.2,2.64251734,-0.0159495
3.24,2.134445908,0.005145
3.28,1.607268183,0.025382
3.32,1.222802771,0.0430465
3.36,1.006004831,0.053851
3.4,1.006004831,0.0519645
3.44,1.22904156,0.0416745
3.48,1.650549786,0.0217805
3.52,2.159011142,-0.0015435
3.56,2.661233709,-0.0221235
3.6,3.082741934,-0.038416
3.64,3.349450192,-0.0478485
3.68,3.386493005,-0.048363
3.72,3.219215458,-0.040817
3.76,2.871792859,-0.025382
3.8,2.357482638,-0.0032585
3.84,1.842782492,0.017836
3.88,1.396709032,0.048706
3.92,1.074241592,0.055566
3.96,0.9564844377,0.059339
4,1.080480382,0.0505925
4.04,1.402557897,0.036701
4.08,1.849021282,0.018179
4.12,2.345005059,-0.008918
4.16,2.853466415,-0.028469
4.2,3.18802151,-0.043904
4.24,3.355299057,-0.0488775
4.28,3.312017454,-0.0451045
4.32,3.057786776,-0.0334425
4.36,2.64251734,-0.015435
4.4,2.140294773,0.005145
4.44,1.650549786,0.02744
4.48,1.253996719,0.045619
4.52,1.055525223,0.0557375
4.56,1.055525223,0.0550515
4.6,1.266474298,0.0427035
4.64,1.638462131,0.0258965
4.68,2.146533563,0.002744
4.72,2.623800971,-0.0197225
4.76,3.033221541,-0.036015
4.8,3.312017454,-0.045619
4.84,3.349450192,-0.0471625
4.88,3.18802151,-0.040131
4.92,2.859705204,-0.0234955
4.96,2.376199007,-0.0042875
5,1.87397644,0.025725
5.04,1.427513056,0.039788
5.08,1.136239564,0.0519645
5.12,0.9997660409,0.0584815
5.16,1.098806827,0.054537
5.2,1.384231453,0.0385875
5.24,1.818217258,0.019894
5.28,2.270529507,0
5.32,2.778990863,-0.0248675
5.36,3.119784748,-0.0409885
5.4,3.299539875,-0.046991
5.44,3.28745222,-0.0444185
5.48,3.082741934,-0.033957
5.52,2.692037733,-0.017493
5.56,2.214770325,0.0053165
5.6,1.749980496,0.027783
5.64,1.34094985,0.0492205
5.68,1.117523196,0.064484
5.72,1.098806827,0.062083
5.76,1.266474298,0.050421
5.8,1.588551814,0.031899
5.84,2.047492777,0.009604
5.88,2.524760185,-0.0156065
5.92,2.946268411,-0.032585
5.96,3.219215458,-0.043218
6,3.318256243,-0.0461335
6.04,3.206737879,-0.04116
6.08,2.902986808,-0.026068
6.12,2.462762213,-0.004459
6.16,1.991733595,0.0180075
6.2,1.526553842,0.036701
6.24,1.216953906,0.053165
6.28,1.061764013,0.079576
6.32,1.098806827,0.101185
6.36,1.32847227,0.0440755
6.4,1.718786548,0.0238385
6.44,2.177727511,0.004116
6.48,2.648756129,-0.02058
6.52,3.039460331,-0.03773
6.56,3.262497061,-0.045619
6.6,3.299539875,-0.0447615
6.64,3.132262327,-0.0365295
6.68,2.797707232,-0.0210945
6.72,2.338766269,0.001372
6.76,1.861498861,0.026068
6.8,1.446229425,0.049049
6.84,1.173282378,0.0598535
6.88,1.086719172,0.062083
6.92,1.216953906,0.0550515
6.96,1.501988607,0.034986
7,1.929735623,0.011319
7.04,2.41324182,-0.011662
7.08,2.871792859,-0.0293265
7.12,3.163456275,-0.04116
7.16,3.312017454,-0.046305
7.2,3.237541902,-0.0430465
7.24,2.983701149,-0.029498
7.28,2.561802999,-0.008575
7.32,2.09701317,0.01372
7.36,1.619745762,0.032585
7.4,1.266474298,0.0499065
7.44,1.074241592,0.0605395
7.48,1.074241592,0.0557375
7.52,1.253996719,0.0433895
7.56,1.607268183,0.0279545
7.6,2.09077438,0.0049735
7.64,2.561802999,-0.017836
7.68,2.983701149,-0.0355005
7.72,3.262497061,-0.044933
7.76,3.330733823,-0.046305
7.8,3.18178272,-0.0392735
7.84,2.884270439,-0.0252105
7.88,2.431958189,-0.0036015
7.92,1.929735623,0.0197225
7.96,1.495749818,0.0399595
8,1.191998747,0.05145
8.04,1.061764013,0.0550515
8.08,1.142478354,0.049735
8.12,1.427513056,0.033957
8.16,1.861498861,0.010976
8.2,2.338766269,-0.0090895
8.24,2.809794887,-0.0276115
8.28,3.150978696,-0.0409885
8.32,3.318256243,-0.047334
8.36,3.293691009,-0.044933
8.4,3.039460331,-0.0324135
8.44,2.654994919,-0.014749
8.48,2.159011142,0.0114905
8.52,1.681743734,0.0334425
8.56,1.278951878,0.045276
8.6,1.068002803,0.0533365
8.64,1.036808854,0.0560805
8.68,1.204476326,0.04802
8.72,1.55774779,0.0258965
8.76,2.047492777,0.003087
8.8,2.543476554,-0.018522
8.84,2.96498478,-0.0355005
8.88,3.268735851,-0.0454475
8.92,3.343211402,-0.0475055
8.96,3.219215458,-0.040817
9,2.909225597,-0.0265825
9.04,2.462762213,-0.0077175
9.08,1.954300857,0.015435
9.12,1.477033449,0.0337855
9.16,1.173282378,0.0457905
9.2,1.030959989,0.052136
9.24,1.105045616,0.0471625
9.28,1.396709032,0.0293265
9.32,1.836543702,0.0111475
9.36,2.338766269,-0.009261
9.4,2.809794887,-0.0279545
9.44,3.18178272,-0.041846
9.48,3.349450192,-0.048363
9.52,3.305778664,-0.0457905
9.56,3.064025565,-0.034986
9.6,2.661233709,-0.0159495
9.64,2.146533563,0.0046305
9.68,1.669266155,0.027097
9.72,1.278951878,0.043218
9.76,1.0247212,0.050764
9.8,0.9997660409,0.0499065
9.84,1.210715116,0.038073
9.88,1.582702949,0.021952
9.92,2.078296801,0
9.96,2.586758157,-0.020237
10,3.026982752,-0.037044
